id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1211688171957669888,1211688171957669888,1577723946000,2019-12-30,23:39:06,SE Asia Standard Time,1147518158237863937,lolosataki,jehezkiel lolo,,"Abis nonton habibie ainun 3, pernah lihat repiew2 katanya kurang inilah itulah,  Lha a bodo amat aja lah. Waktu nonton saya pikir gimana mau dapat yang  ""se-frekuensi dan yang terbaik"" kalau tidak membuktikan bahwa saya mjd yang terbaik.",[],[],[],1,0,0,[],[],https://twitter.com/lolosataki/status/1211688171957669888,False,,0,,,,,,,"[{'user_id': '1147518158237863937', 'username': 'lolosataki'}]",,,,
1211686449851973632,1211686449851973632,1577723536000,2019-12-30,23:32:16,SE Asia Standard Time,177862282,asyknk,케이,,Knp Habibie dan Ainun 3 xde kat icity ke kat bukit raja ke kat setia city keeeee 😩😩😩😩😭😭😭,[],[],[],0,0,0,[],[],https://twitter.com/asyknk/status/1211686449851973632,False,,0,,,,,,,"[{'user_id': '177862282', 'username': 'asyknk'}]",,,,
1211677563346542594,1211677563346542594,1577721417000,2019-12-30,22:56:57,SE Asia Standard Time,945439404,umkalsum,Mikacuuum,,Pengen nntn Habibie dan Ainun 3 tapii ahh sudah lah 🥺,[],[],[],0,1,0,[],[],https://twitter.com/umkalsum/status/1211677563346542594,False,,0,,,,,,,"[{'user_id': '945439404', 'username': 'umkalsum'}]",,,,
1211673582960443392,1211673582960443392,1577720468000,2019-12-30,22:41:08,SE Asia Standard Time,1082179018479128576,niasunn,🐝,,"Mau se romantis apapun jika suatu hubungan tidak satu dalam visi dan misi tidak ada artinya

-Habibie Ainun 3",[],[],[],0,3,6,[],[],https://twitter.com/niasunn/status/1211673582960443392,False,,0,,,,,,,"[{'user_id': '1082179018479128576', 'username': 'niasunn'}]",,,,
1211669702633644033,1211669702633644033,1577719543000,2019-12-30,22:25:43,SE Asia Standard Time,231690976,rgneld,🍪,,"Pelajaran dari film Habibie & Ainun 3. Kalau jodoh emg gak bakalan kemana, walaupun udh nemu seseorang tapi ternyata beda frekuensi sama kita, ya ttp aja gak akan cocok dan jangan dipaksa, harus percaya sama pilihan sendiri. Kita memang bisa pilih tapi tetap Tuhan yg menentukan🤗",[],[],[],3,10,24,[],[],https://twitter.com/rgneld/status/1211669702633644033,False,,0,,,,,,,"[{'user_id': '231690976', 'username': 'rgneld'}]",,,,
1211667450153988096,1211652761345024003,1577719006000,2019-12-30,22:16:46,SE Asia Standard Time,1095888147022438400,notesofmila,Mila🇮🇩 #PakaiMaskerYuk,,"Nonton Habibie dan Ainun 3, Bang 🙏🏼 nanti akan tahu jawabannya",[],[],[],0,0,1,[],[],https://twitter.com/NotesofMila/status/1211667450153988096,False,,0,,,,,,,"[{'user_id': '1095888147022438400', 'username': 'NotesofMila'}]",,,,
1211666692247445505,1211666692247445505,1577718825000,2019-12-30,22:13:45,SE Asia Standard Time,1209616859802157057,adhaliamaihiz,🐝 mai,,"Jadi ceritanya habis nonton Habibie Ainun 3 .. Terus keluar keluar aku ketawa, padahal harusnya sedih. Gara-gara keponakan aku yang nangis belakangan dan kelenger sejadi2nya aku ya gak jadi nangis laaa😄",[],[],[],0,0,0,[],[],https://twitter.com/adhaliamaihiz/status/1211666692247445505,False,,0,,,,,,,"[{'user_id': '1209616859802157057', 'username': 'adhaliamaihiz'}]",,,,
1211664757645692928,1211664757645692928,1577718364000,2019-12-30,22:06:04,SE Asia Standard Time,1656645854,firyalss,F I R Y A L,,"Ah, saya jadi teringat film Imperfect dan Habibie Ainun 3. Didalam film itu mereka memiliki sedikit kesamaan:
1. Habibi ainun mengajarkan bagaimana kita seharusnya jadi seorang Indonesia.
2. Imperfect mengajarkan bagaimana kita seharusnya jadi seorang manusia.",[],[],[],0,0,0,[],[],https://twitter.com/firyalss/status/1211664757645692928,False,,0,,,,,,,"[{'user_id': '1656645854', 'username': 'firyalss'}]",,,,
1211664615521652736,1211660846855639040,1577718330000,2019-12-30,22:05:30,SE Asia Standard Time,1083249134239285248,rafliseptiannn_,rafli,,Udah nonton habibie dan ainun 3 belum?,[],[],[],0,0,0,[],[],https://twitter.com/rafliseptiannn_/status/1211664615521652736,False,,0,,,,,,,"[{'user_id': '1083249134239285248', 'username': 'rafliseptiannn_'}]",,,,
1211664380166672384,1211663053189574657,1577718274000,2019-12-30,22:04:34,SE Asia Standard Time,1083249134239285248,rafliseptiannn_,rafli,,Udah nonton habibie dan ainun 3 belum?,[],[],[],1,0,0,[],[],https://twitter.com/rafliseptiannn_/status/1211664380166672384,False,,0,,,,,,,"[{'user_id': '1083249134239285248', 'username': 'rafliseptiannn_'}]",,,,
1211661698710425600,1211661698710425600,1577717635000,2019-12-30,21:53:55,SE Asia Standard Time,1054690166097362945,nunbusyeou,zahraaa,,"oke hari ini nonton 1/2 habibie dan ainun 3, imperfect. maraton salah2",[],[],[],0,0,0,[],[],https://twitter.com/nunbusyeou/status/1211661698710425600,False,,0,,,,,,,"[{'user_id': '1054690166097362945', 'username': 'nunbusyeou'}]",,,,
1211659889535156230,1211659889535156230,1577717203000,2019-12-30,21:46:43,SE Asia Standard Time,1198782415491100675,nirmalasarri_,Nirmala,,“...bahkan sesuatu yang indah dan dramatis pun belum tentu satu frekuensi” - Habibie Ainun 3,[],[],[],0,0,1,[],[],https://twitter.com/NirmalaSarri_/status/1211659889535156230,False,,0,,,,,,,"[{'user_id': '1198782415491100675', 'username': 'NirmalaSarri_'}]",,,,
1211659369139490826,1211659369139490826,1577717079000,2019-12-30,21:44:39,SE Asia Standard Time,332173189,trydeaf,deya,,"Poin lain yang ditangkap dr film habibie ainun 3 inikan, Nanti kalau udah jadi ibu, semoga bisa bener2 ngerangkul, mengayomi dan menjadi teman yg baik untuk anak2, karena ainun bisa jadi sebegitu juga karena ibunya.
. 
.
""I don't have to be a super mom, just be a good enough mom""",[],[],[],0,0,0,[],[],https://twitter.com/trydeaf/status/1211659369139490826,False,,0,,,,,,,"[{'user_id': '332173189', 'username': 'trydeaf'}]",,,,
1211659107012268032,1211643846615949312,1577717017000,2019-12-30,21:43:37,SE Asia Standard Time,1083249134239285248,rafliseptiannn_,rafli,,Udah pada nonton Habibie dan Ainun 3 belum?,['ngereemdonk'],[],[],1,0,0,[],[],https://twitter.com/rafliseptiannn_/status/1211659107012268032,False,,0,,,,,,,"[{'user_id': '1083249134239285248', 'username': 'rafliseptiannn_'}, {'user_id': '1133298060539310080', 'username': 'ngereemdonk'}]",,,,
1211658395658309634,1211658395658309634,1577716847000,2019-12-30,21:40:47,SE Asia Standard Time,110601833,qzha_ren96,R  E  I  N ☔,,"setelah nonton Habibie Ainun 3 jadi semakin berpikir, jika ingin mendapatkan lelaki setia paket komplit seperti pak B.J Habibie, haruslah cerdas, pemberani dan cantik seperti bu Ainun.. kalo gak ya paling dapatnya B.J Salak 🤣 gimana chol? @jefrinichol",['jefrinichol'],[],[],0,0,0,[],[],https://twitter.com/Qzha_ren96/status/1211658395658309634,False,,0,,,,,,,"[{'user_id': '110601833', 'username': 'Qzha_ren96'}, {'user_id': '1076407478', 'username': 'jefrinichol'}]",,,,
