,tweet
0,Portal Berita Viral: Uang 75 Ribu yang Diburu Kolektor hingga Hoaks Baj...  https://portalberitav.blogspot.com/2020/08/uang-75-ribu-yang-diburu-kolektor.html?spref=tw …
1,"Sekarang Mata Uang 75 Ribu (baru) yang dikritik, good night!"
2,Uang pecahan Rp 75 ribu diproduksi terbatas untuk memperingati hari kemerdekaan Indonesia. Uang ini langsung ramai dicari. Kenapa ya? Ini penjelasan psikolog.  https://health.detik.com/berita-detikhealth/d-5140541/kenapa-uang-rp-75-ribu-ramai-dicari-psikolog-jelaskan-daya-tariknya?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikhealth&utm_source=Twitter#Echobox=1597914107 …
3,"Kelak Muhammad Izzam Athaya, sosok anak yang pakai baju adat Tidung, Kalimantan Utara  dalam uang Rp 75.000 yang dikira orang China, akan berkata kepada anak cucunya :

'Nak, dulu wajah saya ini masuk uang 75 ribu lho, dan dibilang orang China'

#SukuTidung"
4,kalian dah punya uang 75 ribu?
5,"Menurut saya bukan uang pecahan 75.000( tujuh pulh lima ribu) yg harus dipersoalkan,tapi harusnya kenapa BI mencetak uang baru lagi."
6,Hari ini yg lagi heboh di berita uang baru terbita BI pecahan 75.000.( tujuh puluh lima ribu)
7,Menpora turut menyaksikan peluncuran uang pecahan Rp75 ribu sebagai peringatan kemerdekaan ke-75 RI. #Kemenpora https://m.jpnn.com/news/menpora-ikut-saksikan-peluncuran-uang-pecahan-rp75-ribu …
8,apakah uang 75 ribu ini bisa digunakan untuk transaksi jual beli  https://twitter.com/bank_indonesia/status/1296062097315336192 …
9,"DUKUN INI DIKASIH AMPLOP ISI 75RIBU DARI OJOL, UANG VIRAL #uangbaru #uang75ribu  https://youtu.be/ba-Db8LTiBc "
10,"Dicetak Terbatas, Uang Pecahan 75 Ribu Edisi Kemerdekaan Diburu Warga  http://dlvr.it/Rf13x1  pic.twitter.com/II5QfZkDNS"
