,tweet,label
10,bismillah mau banget dpt yg no 11 zenius premium soal zenius aku baru abis bln juli kmrn dada bgt bom siapin uang aku ga bimbel offline cuma ngandelin zenius free sm mipi doang buku jg bom beli aaaaa banyak wishlist tapi tabungam tiris huhu -c-,0
23,bukti tukar uang 75k spesial hutri kw 75,0
29,aku yo ra sanggup vaa 3 makul,0
31,mungkin ini cara tahan eksistensi halobca bagai tanggung jawab kpd bank indonesia supaya tetap lihat kokoh,0
32,tentu laku jika bi masih buka jadwal tukar di tgl 7 sept ,0
43,koster apresiasi kain geringsing bal masuk uang pecah rp 75 ribu https baliexpress jawapos com read 2020 08 17 209485 koster-apresiasi-kain-geringsing-bali-masuk-uang-pecahan-rp-75-ribu ,0
44,uang itu sebenernya bentuk promissory note arti kalo anda punya uang 75 ribu negara punya utang janji lama masa tentu dan wilayah negara ini uang itu milik nilai yg bisa tukar segitu kalo uang ga dipake arti anda ga nagih utang,0
48,edisi khusus merdeka bi cetak uang pecah rp 75 ribu https padek jawapos com bisnis 17 08 2020 edisi-khusus-kemerdekaan-bi-cetak-uang-pecahan-rp-75-ribu ,0
49,wakakaka orang indonesia ngapa sik uang75ribu kalimantan utara pic twitter com fyhh2ysukx,0
51,bank indonesia papua batas tukar pecah uang rp 75 ribu dan hanya layan tiap hari banyak 150 orang bankindonesia papua https bit ly 3176lr3,0
54,bi luncur uang pecah rp 75 ribu di hari merdeka http dlvr it rdrjjt,0
56,sulkarnain terima uang baru pecah rp 75 ribu https kendaripos co id 2020 08 sulkarnain-terima-uang-baru-pecahan-rp-75-ribu ,0
58,perintah luncur uang pecah baru nominal rp 75 ribu https batamtoday com home read 152081 pemerintah-luncurkan-uang-pecahan-baru-nominal-rp-75-ribu ,0
59,baju adat china di uang baru pecah 75 ribu rupiah cek fakta https www viva co id ragam cek-fakta 1294066-baju-adat-china-di-uang-baru-pecahan-75-ribu-rupiah-cek-faktanya utm source dlvr it utm medium twitter ,0
63,untuk netizen yang usaha rusak tertib di indonesia ga hoax ga makan ga bikin ribut ga makan resah baju yang kena anak dalam gambar di pecah uang 75 ribu rupiah sebut adalah baju adat suku tidung kalimantan utara video tara  ig pic twitter com flc7ioi9tq,0
65,baju adat china di uang baru pecah 75 ribu rupiah cek fakta https panrita news 2020 08 18 baju-adat-china-di-uang-baru-pecahan-75-ribu-rupiah-cek-faktanya ,0
70,baju adat china di uang baru pecah 75 ribu rupiah cek fakta http dlvr it rdr6k8,0
76,wakil walikota saksi luncur uang pecah rp 75 ribu cara virtual http bongkarnews com wakil-walikota-saksikan-peluncuran-uang-pecahan-rp-75-ribu-secara-virtual ,0
78,ini dia fakta tentang luncur uang pecah 75 ribu di raya hut ri ke 75 dan cara dapat http dlvr it rdqzw3 pic twitter com 3zcprj7rwk,0
81,ksal laksamana tni yudo margono saksi luncur uang pecah rp 75 ribu pada momen ingat 75 tahun merdeka republik indonesia cara virtual ksal https m jpnn com news ksal-saksikan-peluncuran-uang-pecahan-rp-75-ribu ,0
83,ingat hut ri ke-75 bank indonesia rilis uang baru pecah rp75 ribu https www insertlive com hot-gossip 20200817142102-7-157333 peringati-hut-ri-ke-75-bank-indonesia-rilis-uang-baru-pecahan-rp75-ribu utm term autofeed utm medium social utm source twitter echobox 1597683007 ,0
86,komisi xi dpr tanya efektifitas pecah uang rp 75 ribu keluar bi https politik rmol id read 2020 08 17 448446 komisi-xi-dpr-pertanyakan-efektifitas-pecahan-uang-rp-75-ribu-keluaran-bi ,0
88,komisi xi dpr tanya efektifitas pecah uang rp 75 ribu keluar bi https www idntoday co 2020 08 komisi-xi-dpr-pertanyakan-efektifitas html ,0
