,tweet,label
0,portal berita viral uang ribu  buru kolektor hingga hoaks baj,1
1,sekarang mata uang ribu baru  kritik good night,1
2,uang pecah rupiah ribu produksi batas  ingat hari merdeka indonesia uang  langsung ramai cari    jelas psikolog,0
3,kalian dah punya uang ribu,1
4,  bukan uang pecah tujuh pulh lima ribu   dipersoalkantapi harus  bi cetak uang baru ,1
5,uang khusus hut ri  kok cuma puluh ribu begini jawab bi lewat repelita,1
6,umur umur dr jaman uang perak  muncul uang ribu kaya enggak  terbit batas sampe pake ktp buat ngambil uang k bank    lupa  gmn rb  baru mncul  ribet bener,1
7,bank indonesia bi baru  terbit uang ingat merdeka tahun  nominal rupiah ribu bagaimana cara dapat via detikfinance,0
8,yoona bagi uang     tahun baru  anggota lain,0
9,berita uang pecah ribu  udh lama baru tau euy,0
11,suka bau uang baru,0
12,cara mudah dapat uang baru pecah  edar  batas,0
13,hadiah uang juta dri pak lurah en kawan,0
14,modal apa kalo uang enggak  kalo hati baru ,0
15,hari  bi rilis uang baru ingat merdeka tahun ri halaman all,0
16,jdi td si ayah masuk kmr ngasih uang trus  blg uang apasaya pikir   baik hati eh rupa  baru ingat  hari senin   nyata uang jajan jatah   kurang ayah langsung ketawa  kabur dong ,0
17,yeuww enak banget  satu ktp cuma dapet lembar doang dey   tukar pecah sama k uang ,0
18,iyaaaa  uang k,0
19,eh  uang kertas k hmmmmm interesting,0
20,mau ikut dapet uang k edisi khusus susah bener asli jadwal penuh mulu   punya tips,0
21,uang baru  k berapa deh gemes banget desain,0
22, kasus klepon jenis kerja anak  uang k angkat ntah siapa selesai sama pahlawan  sama msh aja makan polos banget yak wkwk,0
24,oiya smlm abis nanya k ayah  uang baru k  kata cetak jumlah juta lembar  brrti hampir nila ah audah enggak pinter ngitung uang  banyak nya tp jd keinget  brrti  nyetak duit dong kata ayah  bakal jd ngaruh sm inflasi,0
25,ihh enakk bgttt  ngerasain uang k,0
26,coba jam cek jam mas  kemarin sempet daftar  jam jam udah full waktu mau daftar  buat adik jd  cepet lgsg isi data kalo bagi  kosong,0
27,bankindonesia kalau lihat website seluruh slot waktu mesan  tukar uang  lokasi bandung  september  penuh semua    tambah kuota    ,0
28, enggak kenal orang dalem tp  dapet mas jam mesan buka hasil daftar buat diri sendiri udah jam waktu daftar waktu mau daftar buat adik lgsg penuh jam jd  emang  cepetan rebut,0
30,pembukaaan gelombang  kapan   tau jadwal pembukaa gelombang dri mana  pa awal cuma buka smpa tgl sept tau tdi udah buka smpai sept,0
33, sep    jadwal bagaimana coba cara dapat   menit  jam,0
34,perintah  bank indonesia keluar uang ingat merdeka  republik indonesia  agustus uang kertas khusus  mulai salur lalu seluruh wakil bank indonesia  seluruh tanah air  selasa agustus pictwittercomdfuithw,0
35,jadwal penuh semua,0
36,hahaha iya mbak jatuh semua  pd disimpen,0
37,daftar situs agen sbobet deposit semua jenis bank indonesia rb daftar situs agen depobos sbobet deposit    semua jenis bank indonesia  minimal deposit  rb    nikmat sensasi main satu id pictwittercomkggorj,0
38,yah kalo limited  simpen aja dapetinnya susah  ngantri hari dapet jadwal nuker aja  minggu ,0
39, bank indonesia d,0
40,bank indonesia  kali buat upk   hut   ri,0
41,sangat  berbedadengan rasa jengkelkecewa  sedih hilang uang jtbalikin duit gue axamandiri jokowi mandiricare bankmandiri kemenbumn kpppa kemenkeuri jdrouffe juliensteimer aajiindonesia aauiid ojkindonesia bankindonesia erickthohir axaasia,0
42, bentuk peduli sosial  kondisi masyarakat akibat dampak pandemi covid bi jabar  beri paket bantu  masyarakat kali   wilayah kab purwakarta upa paket bantu sembako vitamin sabun  masker pictwittercomqwcljtwfd,0
45,pen ikut sen uang ribu  hmm  tim  kalo udah nyebar aja wkwk tahun  spesial moga bumi lekas baik,0
46,sri mulyani uang pecah rupiah ribu tak edar bebas  tambah likuiditas lewat repelita,0
47,uang rupiah ribu resmi edar mesan  online,0
50,sulawesi tengah  jatah ribu lembar uang khusus hut ri ,0
52,bank indonesia sama menteri uang luncur uang kertas pecah rupiah ribu masyarakat   dapat uang pecah warna merah sebut  mudah info lengkap dengerin awongirfan,0
53,sultra  jatah ribu lembar uang pecah rupiah ribu edisi khusus ,0
55,ekonom nilai terbit uang baru pecah rupiah ribu tak  pengaruh inflasi bi sama  menteri uang  resmi uang ingat merdeka tahun republik indonesia   senin agustus,0
57,edisi khusus uang kertas pecah rupiah ribu pictwittercomsoshpqnth,0
60,uang pecah rupiah ribu tengah buru masyarakat uang ingat tahun merdeka ri beri pertama kali  guntur soekarno  mutia hatta artikel asli muat  mitra teras joglosemar news,0
61,cek fakta baju adat china  uang baru pecah ribu rupiah pictwittercomvlqbpbsr,0
62,bank indonesia bi luncur uang kertas pecah rupiah ribu tepat  ingat hut ri  senin  wujud syukur  raya ri perintah    menteri uang  bi,0
64,buat ngadrun super halu silah cek gambar anak pakai adat  uang baru pecah rupiah ribu,0
66,kado ingat hut ri  uang pecah rupiah ribu cetak batas,0
67,bi resmi luncur uang ingat merdeka  ri  bentuk pecah rupiah ribu  uang sebut  belanja,0
68,tepat  hari ingat merdeka  ri bank indonesia luncur uang baru pecah rupiah ribu    punya pictwittercombjzykrvztk,0
69,penasaran dg siapa aja  foto gambar  uang baru pecah ribu bukan apa apa entah diri  halu pagipagi  gimana  mbak  kostum adat aceh cmiiw kilas mirip mukakuu   bukan foto pictwittercomqzxeecrw,0
71,papua bangga jembatan youtefa tera  uang pecah rupiah ribu papuaitukita freewestpapua dprri,0
72,heboh baju adat china  uang pecah rupiah ribu nyata pakai suku dalam  pulau kalimantan bank indonesia rilis uang pecah edisi batas khusus raya hari merdeka,0
73,heboh baju adat china  uang pecah rupiah ribu  fakta benar nyata pakai suku ,0
74,bukan uang biasa pecah baru rupiah ribu resmi luncur  pakai buat beli bensin,0
75,atur bank indonesia nomor pbi  keluar  edar uang rupiah khusus ingat tahun merdeka negara satu republik indonesia pecah tujuh puluh lima ribu tahun,0
77,viral edar gambar uang kertas pecah ribu rupiah  informasi lengkap,0
79,  fakta  luncur uang pecah ribu  raya hut ri   cara dapat pictwittercomqyokyixh,0
80,uang unik pecah rupiah ribu luncur begini cara beda  asli  palsu pictwittercomxojwopxd,0
82,uang baru pecah rupiah ribu rupiah resmi  luncur  bank indonsia tepat  agustus ingat kemer pictwittercombxuckluxt,0
84,uang pecah rupiah ribu kenal filosofi  ciri,0
85,uang pecah ribumelambangkan tahun indonesia merdeka,0
87,uang pecah ribu,0
89,nuker beb hahaha bi ngeluarin uang commemorative pecah rb klo  masyarakat  mau nuker ribu   ribu lembar    bi   pesan dulu,0
90,sri mulyani uang pecah rupiah ribu tak edar bebas  tambah likuiditas,0
91,uang kuno  punya nilai jual tinggi  kalang kolektor seri wayang gulden seri soekarno pecah tahun seri barong pecah seri jenderal sudirman pecah seri hewan seri budaya pecah,0
92,uang pecah ribu bakal  dipake buat alternatif kondangann kalo  rasa mau ngamplop ribu kecil ribu kegedeannn muehehhehhe,0
93,bareng  ingat  indonesia bank indonesia lewat gubernur perry warjiyo serta menteri uang sri mulyani indrawati rilis uang kartal pecah baru  ribu rupiah,0
94,uang pecah baru rupiah ribu luncur pas  hut ri  tahun,0
95,komisi xi dpr tanya efektifitas pecah uang rupiah ribu keluar bi,0
97,lama buruh  patungan transfer sisa uang atmnya biar genap ribu biar  tarik pas akhir bulan  indonesia malah ngeluarin uang pecah ribu lagi jumlah   juta kaya mahal bayar desainer,1
98,hut  ri perintah  bi terbit uang pecah rupiah ribu hari momentum,0
99, barusan beli uang monopoli abang bwt anak sayaada pecah ribu gambar sama,0
100,uang baru pecah ribu resmi  terbit  ingat hut ri  tahun pictwittercomabnuxhbq,0
102,mbak baru lahir  apa enggak punya orang tua bank indonesia  tahun sekali  selalu bakal ngeluarin uang cetak batas contoh tahun lalu pas indonesia ngerayain merdeka  tahun ngeluarin pecah uang ribu khusus,0
103,bagaimana dampak cetak uang baru pecah rupiah ribu nila rupiah triliun  gera rupiah  ekonomi  simak   bahas sama amat ekonomi feb universitas padjajaran teguh santoso pictwittercomdagnhunq,0
104,perintah resmi luncur uang baru rupiah  pecah nominal rupiah ribu menteri uang menkeu sri mulyani tutur  terbit uang baru  rangka ingat hari merdeka indonesia ,0
105,baru tau kalo mau  uang pecah ribu bagus banget designnya pictwittercomvpeutnc,0
106,bi cetak juta lembar uang pecah baru rupiah ribu,0
108,wali kota kendari jadi orang pertama  sultra  punya uang pecah rupiah ribu,0
110,perintah resmi luncur uang baru rupiah  pecah nominal rupiah ribu menteri uang menkeu sri mulyani tutur  terbit uang baru  rangka ingat hari merdeka indonesia ,0
111,uang pecah rupiah ribu   milik masyarakat  tukar  laku  kantor bi  bank   tunjuk,0
112,nyata  makna filosofis uang pecah rupiah ribu kenal  ciricirinya bankindonesia kemenkeuri,0
114,headline nasional menteri uang sama bank indonesia rilis uang kertas pecah ribu,0
116,ganjar pranowo  uang pecah rupiah ribu edisi merdeka indonesia nomor seri istimewa,0
117,hut ri  bank indonesia terbit uang pecah khusus rupiah ribu taharr abengbabel robbyputrababel dedysbastiano kemenkeuri perekonomianri,0
118,pecah uang rupiah ribu  mulai terbit  jadi    souvenir hut ri aja pintar   perintah,0
119,bi keluar uang baru pecah rupiah ribu  hari merdeka,0
120,mau  uang baru k begini cara  uang pecah baru rupiah ribu hut ri ayo buru daftar,0
121,uang baru edisi khusus hut  ri  pes  online lalu alamat website lalu bagaimana warga  dapat uang pecah baru rupiah ribu sebut lansir poster,0
122,soekarno hatta  pecah ribu trus  jadi tokoh  uang ribu sapa presiden sekarang,0
124,cetak khusus  hut ri  tampak uang pecah rupiah ribu,0
125,hut ri bi luncur uang kertas pecah rupiah ribu,0
126,pecah uang rupiah ribu luncur  jadi souvenir hut ri aja  cerdas  perintah lewat repelita,0
127,pecah uang ribu bi ingat hut ri era baru merdeka bangsa  ingat tahun covid  segala kechaosannya,0
130,pecah uang rupiah ribu resmi luncur amat bilang begini,0
131,bi cetak juta lembar uang pecah baru rupiah ribu pictwittercomrhdnikzf,0
132,sri mulyani tekan  resmi uang pecah rupiah ribu  bukan  tambah likuiditas perintah  murni ingat hut ri ,0
133,begini cara dapat uang pecah rupiah ribu edisi khusus merdeka,0
134,uang rupiah kertas pecah rupiah ribu rupa alat bayar  sah legal tender  sekaligus rupa uang ingat commemorative notes  wilayah negara satu republik indonesia nkri,0
136,begini cara dapat uang pecah rupiah ribu  tak edar bebas via tribunnews,0
137,bi luncur uang pecah baru rupiah ribu cetak juta lembar,0
142,benar  gambar orang pakai adat cina  uang pecah rupiah ribu  fakta via tribunpadangcom,0
143,uang baru rupiah pecah rupiah ribu resmi luncur cetak juta lembar,0
144,ungkap uang ribu baru rupa sulit palsu  jelas  cara tukar via tribunkaltim,0
145,uang baru edisi khusus pecah rupiah ribu  baru  luncur tahu  cetak  batas  juta lembar bank indonesia jelas tata cara  masyarakat  milik uang,0
146, tebak pecah uang ribu  nanti bakal jual   harga gilagilaan sama orang indon,0
148,jadi uang pecah ribu   buat transaksi  enggak kalo mau dapetin tuh uang pecah ribu nuker  beli jatuh ribu x juta yaa triliun yak,0
149,widih uang pecah ribu  baru kece ,0
150,saudara haedzar  beli baju baru  bawa uang pecah ribu banyak lembar berapa uang  milik haedzar mikir dulu,0
151,resmi edar uang pecah rupiah ribu cetak juta lembar serang bank indonesia resmi luncur uang tunai kertas pecah rupiah ribu banyak juta lembar   tanda tangan  menteri,0
152,selamat hari merdeka   tahun indonesia tanah air  luncur uang baru pecah ribu,0
153, rangka ingat merdeka republik indonesia  bank indonesia keluar pecah mata uang khusus nila ribu rupiah uang baru  cetak  bentuk kertas banyak ribu lembar   jadi koleksi masyarakat pictwittercomptrqwwkn,0
154, mau uang pecah ribu  beli  gue harga ribu aja pictwittercomilmlwolf,0
157,bi cetak juta lembar uang pecah baru rupiah ribu pictwittercomywgxvzpy,0
159,random thought kalau mau beli uang an  shopee bayar berapa ,0
160,  bagi uang enggak,0
161,can bagi uang,0
162,info dong kl uang disebarin  bakal nambah jumlah uang edar,0
164,uang ,0
