Tweet,Label
"Abis nonton habibie ainun 3, pernah lihat repiew2 katanya kurang inilah itulah,  Lha a bodo amat aja lah. Waktu nonton saya pikir gimana mau dapat yang  ""se-frekuensi dan yang terbaik"" kalau tidak membuktikan bahwa saya mjd yang terbaik.",0
Pengen nntn Habibie dan Ainun 3 tapii ahh sudah lah 🥺,0
"Mau se romantis apapun jika suatu hubungan tidak satu dalam visi dan misi tidak ada artinya

-Habibie Ainun 3",0
"Pelajaran dari film Habibie & Ainun 3. Kalau jodoh emg gak bakalan kemana, walaupun udh nemu seseorang tapi ternyata beda frekuensi sama kita, ya ttp aja gak akan cocok dan jangan dipaksa, harus percaya sama pilihan sendiri. Kita memang bisa pilih tapi tetap Tuhan yg menentukan🤗",0
"Nonton Habibie dan Ainun 3, Bang 🙏🏼 nanti akan tahu jawabannya",0
"Jadi ceritanya habis nonton Habibie Ainun 3 .. Terus keluar keluar aku ketawa, padahal harusnya sedih. Gara-gara keponakan aku yang nangis belakangan dan kelenger sejadi2nya aku ya gak jadi nangis laaa😄",0
"Ah, saya jadi teringat film Imperfect dan Habibie Ainun 3. Didalam film itu mereka memiliki sedikit kesamaan:
1. Habibi ainun mengajarkan bagaimana kita seharusnya jadi seorang Indonesia.
2. Imperfect mengajarkan bagaimana kita seharusnya jadi seorang manusia.",0
Udah nonton habibie dan ainun 3 belum?,0
"oke hari ini nonton 1/2 habibie dan ainun 3, imperfect. maraton salah2",0
“...bahkan sesuatu yang indah dan dramatis pun belum tentu satu frekuensi” - Habibie Ainun 3,0
"Poin lain yang ditangkap dr film habibie ainun 3 inikan, Nanti kalau udah jadi ibu, semoga bisa bener2 ngerangkul, mengayomi dan menjadi teman yg baik untuk anak2, karena ainun bisa jadi sebegitu juga karena ibunya.
. 
.
""I don't have to be a super mom, just be a good enough mom""",0
Udah pada nonton Habibie dan Ainun 3 belum?,0
"setelah nonton Habibie Ainun 3 jadi semakin berpikir, jika ingin mendapatkan lelaki setia paket komplit seperti pak B.J Habibie, haruslah cerdas, pemberani dan cantik seperti bu Ainun.. kalo gak ya paling dapatnya B.J Salak 🤣 gimana chol? @jefrinichol",0
"I think Indonesia should make a movie like Habibie dan Ainun 3.
Why?
Because the movies make a people learn a lot. 
After I watched that movie ""Should I being Ainun who stand with her dreams""",0
"Bahkan sesuatu yang indah dan dramatis belum tentu satu frekuensi
- Habibie & Ainun 3 -",0
"1. The avengers : end game
2. Perburuan
3. Perempuan tanah jahanam
4. Dua garis biru
5. Habibie dan ainun 3
#Top5Film2019",0
"Sesuatu yang indah dan dramatis belum tentu satu frekuensi. 

- Habibie & Ainun 3 -",0
"Habibie & Ainun 3.

Tu film hampir bikin gue netes.
""Kita di buku yg sama, tp halaman yg berbeda.""

Saling membahagiakan, tp ngga satu frekuensi dan beda visi. Akhirnya berpisah.
Ya, kisah cinta Ahmad dan Ainun.",0
"Dari film habibie ainun 3 gua belajar kalo cewek itu ga cukup punya cowok yang sweet, tapi cowok yg satu visi dan mendukung semua prinsip hidup yg ada pd diri ceweknya serta menghargai segala keputusanya. 9.5/10 ✨",0
"Kemaren jg waktu nonton Habibie dan Ainun 3, tiba tiba Tae muncul di layar gt. Langsung nahan teriak aja gue ya tuhan😭 Sumpah aku heboh sendiri liat Taehyung di iklan..  https://twitter.com/chimbaepsae/status/1211633414094221312 …",0
"Setelah nonton habibie-ainun 3 aku kemudian berpikir bahwa Tuhan memang menjadikan mereka jodoh sehidup dan semati. Selamat jalan eyang, nangis aku tadi tuh 😭😭",0
"Setelah nonton habibie dan ainun 3, aku berfikir apakah @FiersaBesari itu ada saudaraan sama bu besari??",0
"Nah, kalo saya lihat sih bukan ya. Di Imperfect, dari segi cerita, tokoh Reza lebih ke pendukung. Kurang lebih sama bobotnya kayak adeknya, ibunya, dan sahabatnya Rara. Trus Habibie & Ainun 3 lebih fokus ke Ainun. Malah judulnya lebih cocok Ahmad & Ainun 😅.",0
"Guys hrs nonton habibie ainun 3 bagus😢😢😢 lebih cerita ttg ainun nya, dan fokus sm perjuangan perempuan di pendidikan keren lah pokoknya!!!!",0
"HABIBIE & AINUN 3 
11:45 14:15 16:45 19:15 21:45
.
Kisah Ainun (Maudy Ayunda) sebagaimana remaja di usianya ,punya kisah kasih yang cukup unik, menggelitik dan menarik.Saat di SMA, Ainun dikenal sebagai sosok cerdas…  https://www.instagram.com/p/B6sgYqSJ-5h/?igshid=5k36wdl5efku …",0
"1.ratu ilmu hitam
2.habibie dan Ainun 3
3.dua garis biru
4. Imperfect
5.sunyi",0
