,Tweet,Label
2,"Mau se romantis apapun jika suatu hubungan tidak satu dalam visi dan misi tidak ada artinya

-Habibie Ainun 3",1
6,"Ah, saya jadi teringat film Imperfect dan Habibie Ainun 3. Didalam film itu mereka memiliki sedikit kesamaan:
1. Habibi ainun mengajarkan bagaimana kita seharusnya jadi seorang Indonesia.
2. Imperfect mengajarkan bagaimana kita seharusnya jadi seorang manusia.",1
7,Udah nonton habibie dan ainun 3 belum?,1
10,"Poin lain yang ditangkap dr film habibie ainun 3 inikan, Nanti kalau udah jadi ibu, semoga bisa bener2 ngerangkul, mengayomi dan menjadi teman yg baik untuk anak2, karena ainun bisa jadi sebegitu juga karena ibunya.
. 
.
""I don't have to be a super mom, just be a good enough mom""",1
23,"Guys hrs nonton habibie ainun 3 bagus😢😢😢 lebih cerita ttg ainun nya, dan fokus sm perjuangan perempuan di pendidikan keren lah pokoknya!!!!",1
24,"HABIBIE & AINUN 3 
11:45 14:15 16:45 19:15 21:45
.
Kisah Ainun (Maudy Ayunda) sebagaimana remaja di usianya ,punya kisah kasih yang cukup unik, menggelitik dan menarik.Saat di SMA, Ainun dikenal sebagai sosok cerdas…  https://www.instagram.com/p/B6sgYqSJ-5h/?igshid=5k36wdl5efku …",1
28,"Jadi sesuatu yang indah dan dramatis belum tentu satu frekuensi.
-Habibie & Ainun 3",1
30,"Abis nntn Habibie Ainun 3.

...plot Twist..
Ahmad ke Eropa, dan ketemu Ilona  pic.twitter.com/hQ4hfeyEhI",1
31,"Sudah nonton Habibie dan Ainun 3 ?
Kalo kamu pengennya punya istri kaya ibu Ainun, kamu juga harus kaya B.J habibie

Jangan kaya B.J nangka",1
33,"Danur
Dilan
Keluara Cemara
Habibie dan Ainun 3
Gundala 
#Top5Film2019",1
39,kamu dan kenangan versi instrumental diawal film habibie ainun 3 brengsek banget sih dapet bgt momennya njir,1
41,"Jadwal tayang film hari di Cinepolis Theater Binjai Supermall
.
Senin, 30 Desember 2019
HTM : Rp. 30.000,- (Standard)
.
SI MANIS JEMBATAN ANCOL
|11:45| |14:05||16:25| |18:50|
|21:15|
.
HABIBIE DAN AINUN 3
|11:15|…  https://www.instagram.com/p/B6rhRpQJ8tX/?igshid=g6ln13f365ea …",1
44,Yo yoyoyo you all guys should watch Habibie & Ainun 3 and just see how alm. Pak Habibie very mature enough too fit in relationship with just said that he and alm. Ibu Ainun sama-sama memilih untuk melupakan masa lalu masing2 dan memilih untuk melanjutkan hidup.,1
49,"Lihat o habibie dan ainun 3,
Nanti paham 
Wkwk",1
51,"""Eyang dan Eyang Putri satu frekuensi. Berbeda kita, tapi kita satu jalan.""

-Habibie Ainun 3-  https://twitter.com/aulmaulidiana/status/1210865282668879872 …",1
54,Btw habibie & ainun 3... 8.5/10 for me! And 10/10 for Reza Rahadian.. Gila totalitas bgt dia. Bicara dan jalannya bener2 persis eyang🥺❤️ dan makeup artistnya beh sintingg makeupnya keren!,1
55,"Akhirnya, Imperfect dan Habibie & Ainun 3 melengkapi 15 film Indonesia 2019 yang ditonton oleh lebih dari 1 juta orang. Congrats!! #filmindonesia #ImPerfect #HabibieAinun3 #Gundala #dilan1991 #duagarisbiru
@ernestprakasa @jokoanwar @festivalfilmid @Hanungbramantyo pic.twitter.com/s1IfbRIqMx",1
56,"Habibie ainun 3: kisah cinta habibie dan ainun yg difilmin ke 3 kalinya.

Who tf is ahmad??",1
60,"Baru nonton cuplikannya saja sudah menangis. Bagaimana bila nonton secara lengkap dan tuntas film layar lebar Indonesia  “Habibie & Ainun 3”?

🎬 #OfficialTrailer MD Pictures #HabibieAinun3 🎞️🇮🇩 https://youtu.be/7uV166LCp10 ",1
63,Om habibie dan ainun 3 gaknada rencana promo kemedan? Anak medan udah pada gak sabar nih om😁,1
65,"Jadwal tayang film hari di Cinepolis Theater Binjai Supermall
.
Minggu, 29 Desember 2019
HTM : Rp. 45.000,- (Standard)
.
SI MANIS JEMBATAN ANCOL
|11:45| |14:05||16:25| |18:50|
|21:15|
.
HABIBIE DAN AINUN 3
|11:15|…  https://www.instagram.com/p/B6pDD4zJ87r/?igshid=erlca3poda6 …",1
66,"HABIBIE DAN AINUN 3
.
Tayang hari ini di Cinepolis Theater Binjai Supermall
.
Minggu, 29 Desember 2019
HTM : Rp. 45.000 (Standard)
.
|11:15| |13:45| |16:15||18:45|
|21:15|
.
Info lebih lanjut kunjungi website…  https://www.instagram.com/p/B6pC3NdpMLB/?igshid=14m8fxa0fr0va …",1
67,"Yuhu, dah memenuhi 'wishlist' saya. Antara dua film ini, yg paling pengen saya tonton lagi adlh Habibie & Ainun 3. Padahal filmnya tidak sesuai ekspetasi saya, di mana harapan saya adlh melihat bnyk kemesraan Reza Rahadian dan Maudy Ayunda, haha, dan itu tidak saya dapatkan.  pic.twitter.com/Hz1G9nbmUn",1
69,moots nonton Habibie dan Ainun 3 skuyyyy,1
70,"sebabkan habibie dan ainun 3 bukan semua panggung ada, terpaksa la aku tengok cepat. dah la tayangannya cuma beberapa hari saja. karya yang bagus patut ditontonkan banyak tempat dan pelbagai waktu.",1
72,Habibie dan Ainun 3,1
73,"Dari 3 film seri Habibi&Ainun paling favorit dan berkesan teueteup yang kedua ""Rudy Habibie""",1
