,Tweet,Label
0,"Abis nonton habibie ainun 3, pernah lihat repiew2 katanya kurang inilah itulah,  Lha a bodo amat aja lah. Waktu nonton saya pikir gimana mau dapat yang  ""se-frekuensi dan yang terbaik"" kalau tidak membuktikan bahwa saya mjd yang terbaik.",1
1,Pengen nntn Habibie dan Ainun 3 tapii ahh sudah lah 🥺,1
3,"Pelajaran dari film Habibie & Ainun 3. Kalau jodoh emg gak bakalan kemana, walaupun udh nemu seseorang tapi ternyata beda frekuensi sama kita, ya ttp aja gak akan cocok dan jangan dipaksa, harus percaya sama pilihan sendiri. Kita memang bisa pilih tapi tetap Tuhan yg menentukan🤗",1
4,"Nonton Habibie dan Ainun 3, Bang 🙏🏼 nanti akan tahu jawabannya",1
5,"Jadi ceritanya habis nonton Habibie Ainun 3 .. Terus keluar keluar aku ketawa, padahal harusnya sedih. Gara-gara keponakan aku yang nangis belakangan dan kelenger sejadi2nya aku ya gak jadi nangis laaa😄",1
8,"oke hari ini nonton 1/2 habibie dan ainun 3, imperfect. maraton salah2",1
9,“...bahkan sesuatu yang indah dan dramatis pun belum tentu satu frekuensi” - Habibie Ainun 3,1
11,Udah pada nonton Habibie dan Ainun 3 belum?,1
12,"setelah nonton Habibie Ainun 3 jadi semakin berpikir, jika ingin mendapatkan lelaki setia paket komplit seperti pak B.J Habibie, haruslah cerdas, pemberani dan cantik seperti bu Ainun.. kalo gak ya paling dapatnya B.J Salak 🤣 gimana chol? @jefrinichol",1
13,"I think Indonesia should make a movie like Habibie dan Ainun 3.
Why?
Because the movies make a people learn a lot. 
After I watched that movie ""Should I being Ainun who stand with her dreams""",1
14,"Bahkan sesuatu yang indah dan dramatis belum tentu satu frekuensi
- Habibie & Ainun 3 -",1
15,"1. The avengers : end game
2. Perburuan
3. Perempuan tanah jahanam
4. Dua garis biru
5. Habibie dan ainun 3
#Top5Film2019",1
16,"Sesuatu yang indah dan dramatis belum tentu satu frekuensi. 

- Habibie & Ainun 3 -",1
17,"Habibie & Ainun 3.

Tu film hampir bikin gue netes.
""Kita di buku yg sama, tp halaman yg berbeda.""

Saling membahagiakan, tp ngga satu frekuensi dan beda visi. Akhirnya berpisah.
Ya, kisah cinta Ahmad dan Ainun.",1
18,"Dari film habibie ainun 3 gua belajar kalo cewek itu ga cukup punya cowok yang sweet, tapi cowok yg satu visi dan mendukung semua prinsip hidup yg ada pd diri ceweknya serta menghargai segala keputusanya. 9.5/10 ✨",1
19,"Kemaren jg waktu nonton Habibie dan Ainun 3, tiba tiba Tae muncul di layar gt. Langsung nahan teriak aja gue ya tuhan😭 Sumpah aku heboh sendiri liat Taehyung di iklan..  https://twitter.com/chimbaepsae/status/1211633414094221312 …",1
20,"Setelah nonton habibie-ainun 3 aku kemudian berpikir bahwa Tuhan memang menjadikan mereka jodoh sehidup dan semati. Selamat jalan eyang, nangis aku tadi tuh 😭😭",1
21,"Setelah nonton habibie dan ainun 3, aku berfikir apakah @FiersaBesari itu ada saudaraan sama bu besari??",1
22,"Nah, kalo saya lihat sih bukan ya. Di Imperfect, dari segi cerita, tokoh Reza lebih ke pendukung. Kurang lebih sama bobotnya kayak adeknya, ibunya, dan sahabatnya Rara. Trus Habibie & Ainun 3 lebih fokus ke Ainun. Malah judulnya lebih cocok Ahmad & Ainun 😅.",1
25,"1.ratu ilmu hitam
2.habibie dan Ainun 3
3.dua garis biru
4. Imperfect
5.sunyi",1
26,Jadi sesuatu yang indah dan dramatis belum tentu satu frekuensi ~Habibie & Ainun 3  https://www.instagram.com/p/B6nnhicgGmv/?igshid=1tdtkxkmbsf6f …,1
27,"Resensi Film: ""Habibie dan Ainun 3"", Akhir Perjuangan Manis Si Gula Jawa  http://dlvr.it/RM87gh ",1
29,Habibie & Ainun 3 dan Imperfect akan berakhir di posisi berapa di #BoxOfficeIndonesia? pic.twitter.com/GKB3ZOFUyY,1
32,"1.Habibie Ainun 3
2.Dua Garis Biru
3.Ratu Ilmu Hitam
4.Keluarga Cemara
5.Dilan 1991
*Aku suka karena seru banget, dan di no 2-5 ada Zara nya😝🤣
#Top5Film2019",1
34,"1. Ratu Ilmu Hitam
2. Habibie dan Ainun
3. Frozen 2
4. Danur
5. Perempuan Tanah Jahanam

#Top5Film2019",1
35,"Frozen 2
Gundala
Dua Garis Biru
Habibie dan Ainun 3
Perempuan Tanah Jahanam
#Top5Film2019",1
36,Habibie dan Ainun 3 #Top5Film2019,1
37,"Semoga bisa nonton film Habibie dan Ainun 3, dan IMPERFECT",1
38,Medina zein kena sabu komennya pada bilang soal keughtean dan jilbabnyaa. Semakin mengaminin kata2 ahmad di habibie ainun 3.,1
40,"Minggu ini mulai Kamis nanti isinya film Indonesia semua. Imperfect, Habibie Ainun 3, NKCTHI, dan Rasuk 2.",1
42,"Lihat Habibie dan Ainun 3 berasa kayak lihat Dilan 1991. Sedih, nangis, kesel juga 🥺🥺
@jefrinichol
@maudyayunda
#HabibieAinun3",1
43,"""sesuatu yang indah dan dramatis belum tentu satu frekuensi"" ~ Habibie Ainun 3",1
45,"Habibie dan Ainun 3

Maunya apa sih ini?",1
46,Janganlah ada yang bandingin Imperfect dan Habibie Ainun 3. Masing-masing akan menyentuh relungmu dengan caranya. Jangan lupak nonton! Itu pesanku 🤗🤗🤗,1
47,Baru nonton habibie dan ainun 3 ada satu hal yang baru aku sadari ternyata jefri nichol ganteng banget,1
48,"Berasa wajib banget nonton Habibie Ainun 3 karena @jefrinichol sampe boyong suami, anak, dan mamer. Terima kasih, Ahmad. Walaupun kita tidak satu frekuensi, namun percayalah kita akan bahagia dengan jalan kita masing-masing.  pic.twitter.com/7H8TuxDELB",1
50,"Dari film habibie ainun 3 dapat diambil pelajaran, walaupun sudah mencapai tahap serius dan saling merasa cocok. Ketika visi dan persepsi berbeda maka perpisahan resikonya.",1
52,"Dear Habibie Ainun 3 Cast...
@officialpilarez @jefrinichol @maudyayunda dll aku dan temen ku mengulas film ini dr sisi psikologi, seru bngt bahasannya dan mudah dipahamin.

Dukungan kalian utk share ulasannya akan sngt bermanfaat untk edukasi masyarakat Indonesia ❤️❤️  https://twitter.com/itsigania/status/1211253508155965440 …",1
