,Tweet,Label
0,abis nonton habibie ainun pernah lihat repiew katanya kurang inilah  lha a bodo  aja lah waktu nonton  pikir gimana mau   sefrekuensi   terbaik kalau  membuktikan   mjd  terbaik,1
1,pengen nntn habibie  ainun tapii ahh  lah,1
3,pelajaran  film habibie ainun kalau jodoh emang enggak bakalan  walaupun udh nemu seseorang  ternyata beda frekuensi sama   ttp aja enggak  cocok  jangan dipaksa  percaya sama pilihan sendiri  memang  pilih  tetap tuhan  menentukan,1
4,nonton habibie  ainun bang   tahu jawabannya,1
5,jadi ceritanya habis nonton habibie ainun terus keluar keluar  ketawa padahal harusnya sedih garagara keponakan   nangis belakangan  kelenger sejadinya   enggak jadi nangis laaa,1
8,oke hari  nonton habibie  ainun imperfect maraton salah,1
9,bahkan   indah  dramatis    satu frekuensi habibie ainun,1
11,udah  nonton habibie  ainun ,1
12, nonton habibie ainun jadi semakin berpikir   mendapatkan lelaki setia paket komplit  pak bj habibie haruslah cerdas pemberani  cantik  bu ainun kalo enggak  paling dapatnya bj salak gimana chol jefrinichol,1
13,i think indonesia should make a movie like habibie  ainun why because the movies make a orang learn a lot after i watched that movie should i being ainun who stand with her dreams,1
14,bahkan   indah  dramatis   satu frekuensi habibie ainun,1
15,the avengers end game perburuan perempuan tanah jahanam  garis biru habibie  ainun,1
16,  indah  dramatis   satu frekuensi habibie ainun,1
17,habibie ainun tu film hampir bikin gue netes   buku  sama tp halaman  berbeda saling membahagiakan tp ngga satu frekuensi  beda visi akhirnya berpisah  kisah cinta ahmad  ainun,1
18, film habibie ainun gua belajar kalo cewek  enggak cukup punya cowok  sweet  cowok  satu visi  mendukung semua prinsip hidup   pd diri ceweknya  menghargai segala keputusanya,1
19,kemaren  waktu nonton habibie  ainun tiba tiba tae muncul  layar gt langsung nahan teriak aja gue  tuhan sumpah  heboh sendiri liat taehyung  iklan,1
20, nonton habibieainun  kemudian berpikir  tuhan memang menjadikan  jodoh sehidup  semati selamat jalan eyang nangis  tadi tuh,1
21, nonton habibie  ainun  berfikir  fiersabesari   saudaraan sama bu besari,1
22,nah kalo  lihat sih bukan   imperfect  segi cerita tokoh reza lebih  pendukung kurang lebih sama bobotnya kayak adeknya ibunya  sahabatnya rara trus habibie ainun lebih fokus  ainun malah judulnya lebih cocok ahmad ainun,1
25,ratu ilmu hitam habibie  ainun  garis biru imperfect sunyi,1
26,jadi   indah  dramatis   satu frekuensi habibie ainun,1
27,resensi film habibie  ainun akhir perjuangan manis si gula jawa,1
29,habibie ainun  imperfect  berakhir  posisi berapa  pictwittercomgkbzofuyy,1
32,habibie ainun  garis biru ratu ilmu hitam keluarga cemara dilan  suka  seru banget   no  zara nya,1
34,ratu ilmu hitam habibie  ainun frozen danur perempuan tanah jahanam,1
35,frozen gundala  garis biru habibie  ainun perempuan tanah jahanam,1
36,habibie  ainun,1
37,semoga  nonton film habibie  ainun  imperfect,1
38,medina zein kena sabu komennya  bilang soal keughtean  jilbabnyaa semakin mengaminin kata ahmad  habibie ainun,1
40,minggu  mulai kamis  isinya film indonesia semua imperfect habibie ainun nkcthi  rasuk,1
42,lihat habibie  ainun berasa kayak lihat dilan sedih nangis kesel  jefrinichol maudyayunda,1
43,  indah  dramatis   satu frekuensi habibie ainun,1
45,habibie  ainun maunya apa sih ,1
46,janganlah   bandingin imperfect  habibie ainun masingmasing  menyentuh relungmu  caranya jangan lupak nonton  pesanku,1
47,baru nonton habibie  ainun  satu   baru  sadari ternyata jefri nichol ganteng banget,1
48,berasa wajib banget nonton habibie ainun  jefrinichol sampe boyong suami anak  mamer terima kasih ahmad walaupun   satu frekuensi  percayalah   bahagia  jalan  masingmasing pictwittercomhtuxdelb,1
50, film habibie ainun  diambil pelajaran walaupun  mencapai tahap serius  saling merasa cocok  visi  persepsi berbeda  perpisahan resikonya,1
52,dear habibie ainun cast officialpilarez jefrinichol maudyayunda    temen  mengulas film  dr sisi psikologi seru bngt bahasannya  mudah dipahamin dukungan kalian utk share ulasannya  sngt bermanfaat untk edukasi masyarakat indonesia,1
53, berada  buku  sama  halaman  berbeda kata ainun  ahmad habibie ainun  berada  buku  halaman  sama kata krisnapanji  savanabila menyatukan misi ,1
57,habibie ainun melawan patriarki meraih mimpi  melepaskan kekasih hati  tdk sefrekuensi reza rahardian tetap amazing as always chemistrynya maudyayunda  jefrinichol manis banget si  sedih  ikut sedih pictwittercomienctrsclc,1
58,habibie  ainun   dijangka cerita penuh kata kata  menarik  kisah kehidupan  bagus patut ditonton pictwittercomhcvpguz,1
59,  indah  dramatisbelum  satu frekuensi habibie ainun,1
61, semua berbicara  film habibie  ainun  uweee  menonton mana jiwa nasionalismu akhbrooo,1
62,habibie  ainun    siar mbo cinemas in klang selangor,1
64,baru aja liat breakdown vfx habibie  ainun jadi inget captain america first avenger,1
68,mending nonton habibie  ainun  frozen,1
71,apa  diri sendiri harapkan terkadang  sesuai ekspetasi  terjadi  realita film habibie ainun mengajarkan banyak pelajaran hidup  berharga mulai  pertemanan percintaan keluarga   banyak  buat filmnya jefrinichol,1
74,  indah  dramatis   satu frekuensi habibie ainun,1
75, nonton habibie ainun baru sadar kalau maudy ayunda  reza rahardian disandingkan   film perahu kertas  ribuan purnama berlalu,1
80,habibie  ainun nih,1
83,cerita habibie ainun ni membawa point  berbeza dibandingkan  cerita sebelumnya iaitu rudy habibie apa  memberi kesan bagaimana ainun berjaya mengubah pemikiran pd zaman  iaitu wanita akhirnya  dapur  citacitanya menjadi seorg doktor dikira mustahil,1
85,kemarin nonton habibie ainun terus kepikiran ibu ainun  pinter gitu punya suami bapak habibie  pinter  jadi motivasi banget buat belajar semoga  diberikan jodoh  pinter  sholeh,1
