,Tweet,Label
2,mau se romantis apapun  suatu hubungan  satu  visi  misi   artinya habibie ainun,0
6,ah  jadi teringat film imperfect  habibie ainun didalam film   memiliki sedikit kesamaan habibi ainun mengajarkan bagaimana   jadi seorang indonesia imperfect mengajarkan bagaimana   jadi seorang manusia,0
7,udah nonton habibie  ainun ,0
10,poin   ditangkap dr film habibie ainun inikan  kalau udah jadi ibu semoga  bener ngerangkul mengayomi  menjadi teman  baik  anak  ainun  jadi sebegitu   ibunya i dont have to be a super mom just be a good enough mom,0
23,guys hrs nonton habibie ainun bagus lebih cerita  ainun nya  fokus sm perjuangan perempuan  pendidikan keren lah pokoknya,0
24,habibie ainun kisah ainun maudy ayunda sebagaimana remaja  usianya punya kisah kasih  cukup unik menggelitik  menariksaat  sma ainun dikenal  sosok cerdas,0
28,jadi   indah  dramatis   satu frekuensi habibie ainun,0
30,abis nntn habibie ainun plot twist ahmad  eropa  ketemu ilona pictwittercomhqhfeyehi,0
31, nonton habibie  ainun kalo kamu pengennya punya istri kaya ibu ainun kamu   kaya bj habibie jangan kaya bj nangka,0
33,danur dilan keluara cemara habibie  ainun gundala,0
39,kamu  kenangan versi instrumental diawal film habibie ainun brengsek banget sih dapet banget momennya anjing,0
41,jadwal tayang film hari  cinepolis theater binjai supermall senin desember htm rp standard si manis jembatan ancol habibie  ainun,0
44,yo yoyoyo you all guys should watch habibie ainun and just see how alm pak habibie very mature enough too fit in relationship with just said that he and alm ibu ainun samasama memilih  melupakan masa lalu masing  memilih  melanjutkan hidup,0
49,lihat o habibie  ainun  paham wkwk,0
51,eyang  eyang putri satu frekuensi berbeda    satu jalan habibie ainun,0
54,btw habibie ainun for me and for reza rahadian gila totalitas banget  bicara  jalannya bener persis eyang  makeup artistnya beh sintingg makeupnya keren,0
55,akhirnya imperfect  habibie ainun melengkapi film indonesia  ditonton  lebih  juta orang congrats ernestprakasa jokoanwar festivalfilmid hanungbramantyo pictwittercomsifbriqmx,0
56,habibie ainun kisah cinta habibie  ainun  difilmin  kalinya who tf is ahmad,0
60,baru nonton cuplikannya   menangis bagaimana bila nonton  lengkap  tuntas film layar lebar indonesia habibie ainun md pictures,0
63,om habibie  ainun gaknada rencana promo kemedan anak medan udah  enggak sabar nih om,0
65,jadwal tayang film hari  cinepolis theater binjai supermall minggu desember htm rp standard si manis jembatan ancol habibie  ainun,0
66,habibie  ainun tayang hari   cinepolis theater binjai supermall minggu desember htm rp standard info lebih lanjut kunjungi website,0
67,yuhu dah memenuhi wishlist    film   paling pengen  tonton  adlh habibie ainun padahal filmnya  sesuai ekspetasi   mana harapan  adlh melihat bnyk kemesraan reza rahadian  maudy ayunda haha     dapatkan pictwittercomhzgnbmun,0
69,moots nonton habibie  ainun skuyyyy,0
70,sebabkan habibie  ainun bukan semua panggung  terpaksa la  tengok cepat dah la tayangannya cuma beberapa hari  karya  bagus patut ditontonkan banyak tempat  pelbagai waktu,0
72,habibie  ainun,0
73, film seri habibiainun paling favorit  berkesan teueteup  kedua rudy habibie,0
76,habibie  ainun  terselamatkan  maudy a jefri n ma reza r  habibie tua ceritanya yaudahlah ,0
77,chord kunci gitar lagu maudy ayunda kamu  kenangan sundtrack film habibie ainun via tribunpadangcom,0
78,gimana ceritanya awal beli tiket tgl des  jelas tertulis film habibie ainun bahkan konfirmasi tiket nya  dikirim via email  sms  tertera film  trus knp waktu  cek  aplikasi barusan film nya berubah jadi si manis jembatan ancol mohon pencerahannya,0
79,jumanji frozen habibie  ainun,0
81,bookmyshowid  knp gini awal beli  yakin  beli tiket habibie ainun dpt konfirmasi  via sms  email pictwittercomvzqwrptzc,0
82,habibie  ainun nder,0
84, udah liat habibie  ainun bang bangus banget sumpah,0
86,reza rahadian berperan  bossman  my stupid boss  habibie  habibie ainun,0
90,dugabir  habibie ainun,0
97,kuntilanak habibie  ainun imperfect,0
101,habibie ainun  imperfect,0
108, beli tiket film habibieainun  diputar jam durasi filmnya jaman selesai  film  menceritakan  kisah eyang ainun sewaktu muda kisah perjuangan  cinta eyang ainun waktu sma hingga kuliah sabelum akhirnya bersama eyang habibie,0
109,baru nonton habibie  ainun subhannallah kisah cinta  manusia  abadi menjadi pembelajaran  kehidupan pictwittercomoidywxfi,0
110, nonton habibie  ainun  menyadari kalau peran karakter ahmad pas  kampus  jagain jodoh orang peran ahmad sangat berhubungan sekali  kehidupan   sungguh mulia sekali,0
118,penilaian  film habibie  ainun gimana dong rencana mau nonton rame sama temen  jujur yaa ehe infomalang,0
120,mg jailngkung me abang abang foto nichol ngambil hp gue me makasih makasih dalem hati seneng banget cakep banget   baik ps  sebenernya banyak  ikutan foto gue crop aja lah  xoxoxo btw jefrinichol sukses film habibieampainun nyah pictwittercomjbqswczy,0
131,nonton habibie  ainun dapet banget dong pesan postifnya suka banget sm alur ceritanya hebat bikin banjir,0
132,selamat  sukses film habibie  ainun jefrinichol,0
133, acara sersan upin  ipin  alihkan dulu mjd habibie ainun ye  opah  tengok kau,0
135,review film habibie ainun  keluar silakan dibaca  ditonton filmnya  berkenan,0
136,sore  gue nonton habibie ainun bareng sodara a sm b  tante sebelumnya sodara gue beli softlens  melawai   bawa  ruang theater udh  beres nonton,0
137,dear penonton bioskop indonesia kalau mau bahas film  sdg ditonton  enggak tunggu  film selesai  sdh  luar teater  sana bukan lu sendiri doang jing utk penonton habibieainun  tadi duduk  samping gue k lo,0
145,gundala  habibie ainun tayang serentak  malaysia mulai hari  jom tonton ramairamai pictwittercommkhjvoroh,0
148, rangka merefresh pikiran  riset akhirnya hari   marathon film  knives out done habibieampainun  imperfect next,0
155,habibie ainun keren  banyak banget adegan  menyentuh  meski    terlalu dipaksakan  bagian animasinya   alir cerita  pesan moralnya  banyak banget sangat menyentuh jugaa,0
158,  scene ending percakapan imajiner  habibie  ainun menyelamatkan film habibie ainun sesungguhnya  scene   ending lah  menusuk   hati   nya mah meh,0
164,bener org baik cerdas mau sukses  ketemunya  sama org  baik  cerdas    aja jalannya habibie ainun bgs banget,0
165,jumanji the next level habibie  ainun eggnoid,0
168,besok pengen nonton habibie  ainun  jumat responsi tugas  ngerjain eval musang enggak  temen ,0
174,habibie ainun kalau dibandingin sama habibie ainun  gimana mas,0
181,   klcc  pukul malam kalau cerita habibie  ainun ni,0
192,  seri film habibieainun the fundamental value is peran ibu penting  masa depan anak lakilakinya peran bapak penting  masa depan anak perempuannya thats it,0
193,serang  cikupa banten meet and greet cast habibie ainun pictwittercomqanmvvccl,0
196,   kemaren nonton habibie ainun  delta studio jam  duduk  barisan j  mas  pake topi coklat muda  kemarin  nonton habibie ainun sama ayahadenya  duduk  j sebelahku pesan masnya ganteng  suka  kenalan cak,0
198,keseruan nobar  meet greet  cgv hartono mall yogyakarta terima kasih  antusiasnya warga yogyakarta jangan lupa ajak temanteman kamu   buat nonton habibie ainun  cgv sekarang pictwittercomwsemiijs,0
199,serang  cikupa banten meet and greet cast habibie ainun pictwittercomgrvfdidlmo,0
204,sayang mandi gih  udah beli tiket habibie  ainun  jemput  iya dong pacarku masa sendirian perginya wkwkwk andai kisah cinta  seindah halu ,0
208,mau review sedikit aja karna enggak ahli  film gue abis nonton habibieainun  imperfect duanya bagus kalo habibieainun entah  kaya   kurang gue ngerasa  sedikit boring  nonton berbeda sama imperfect sepanjang nonton nangisnya dapet ketawa ,1
209,habibie ainun directed by hanung bramantyo starring by maudy ayunda jefri nichol reza rahadian bercerita  ainun remaja  dikenal cerdas  sangat baik hati  sedang menempuh pendidikan  menjadi dokter  ui  segala perjuangan   hadapi pictwittercomhgprmqw,0
210,kecewa betul habibie  ainun takde kat melaka,0
211,  habis nonton habibie ainun mimpi ketemu  jefrinichol gua  peluk dong biasanya sih cuma mimpi  sapa doang terus kapan dong  ketemu langsung,0
212, indah  romantis    satu frekuensi bj habibie from habibie ainun,0
213,selamat buat jt penontonnya  hari  semua  cast  kru habibieainun filmnya emang keren banget hari pertama  nonton trs nonton  dong  hari kedua hehe buat film  sangat menginspirasi bangsa indonesia sekali  congrast jefrinichol pictwittercommbcocmens,0
215,abis nonton habibieainun  mataku keringetan sejak scene pertama but so in love with all the casts filmnya bagus especially for jefrinichol   bikin  jatuh cinta sama ahmad wkwkwk,0
218,tadi nonton habibie ainun terus jadi mikir andai waktu   enggak pacaran andai waktu   enggak bucin gila andai waktu   enggak galau pas udah deket sbm andai h  sbm  enggak diajak maen sama mantan sampe malem  andai nya  milih fk    nyantol,0
220,maaf    awalnya tengok kanankiri heran lihat kalian nangis  akhirnya kalian  heran lihat  sesenggukan habibie ainun makasih to cgvcinemasusa traveloka ur promo make us happy pictwittercomgqzwhinf,0
227,baper  sedih terharu banget nonton film pasangan sejati  habibie  ainun film  nyangkut  hati pictwittercomvjibkszyx,0
231,jadi  nonton imperfect  habibieainun,0
234, nonton habibie ainun  jadi pilek apa karna  filmnya musim hujan mulu yak jadi  bersin  jadi pilek baru tau  gitu,0
235,pengen nonton film habibie  ainun adakah ajakan nonton,0
239,tadi nonton habibie ainun  sempet nemuin beberapa   bener bener nampar apa  kamu cari  cita  impian mu    hargai  menjadi kaya  sesederhana  membuktikan  diri sendiri mungkin alasan   salah satu diantaranya,0
244,soners yuk ikutan  kali   dapetin tiket gratis nonton film habibie ainun siapa nih pasangan  menginspirasi kamu   wasms   mention yaah,0
247,gila woi  nonton habibie ainun pesen tiket jam nontonnya jam pas dah  studio baru tau dong  theater visit  mall    jadwalnya   nonton jam set tadi sad parah asli gajadi ketemu bebep jepri nikol pictwittercomkfknmff,0
250,habibie  ainun nonton setujuuuu dehhh huhuhu sad jumanji enggak kalah seru  wkwkkk,0
254,habibie  ainun imperfect jumanji doraemon the movie,0
259,kelar nyelesaiin satu novel  impian trs keinget habibie ainun oke   menentukan mimpiku punya perpustakaan berjuta buku sendiri  dateng  konser oppa  cuma sekali,0
260,kamu  kenangan cipt melly goeslow  kebaperan liat habibie ainun pictwittercompeknceffz,0
264,nonton film habibie ainun liat betapa ambisnya ibu ainun muda  liat  hasil dr ambisnya ibu ainun jangan matiin semangat orang deh,0
265,habibie  ainun  bagus banget sih bikin haru dibagian akhir,0
275,btw udah  nonton habibie ainun berikut review singkat  telat versiku jefri nichol body goals banget yak bgst lu jep jefrinichol,0
281,lagu kamu  kenangannya maudy ayunda  habibie ainun  kurang greget dibanding lagu  filmfilm sebelumnya cinta sejatinya bcl  mencari cinta sejatinya cakra khan sama halnya  into the unknown frozen  kurang nempel  telinga dibanding let it go,0
286, berselang minggu  habibie ainun  imperfect,0
290,filem the cave  ainun habibie  ditayangkan oada disember ni anyone jom tengok please,0
291,mau punya cowok kayak ahmad gentle banget  tau  memperlakukan wanita  gimana terus enggak salah   meranin jefrinichol  kebayang sampe sekarang  mau banget kalo   ngajakin nonton habibie ainun  mayan liat ahmad ganteng hft,0
292,habibie  ainun pictwittercomewgelylxit,0
294,film habibie ainun  lebih menceritakan perjuangan cita citanya ibu ainun cocok menginspirasi  kaum wanita  film  pesan ayahanda ibu ainun   tetap dijaga  dirawat     hati  fikiran biar terus positif,0
296,scene terakhir  pak habibie  ibu ainun tahan tahan jangan nangis tahaan   tahaaaaann detik detik detik ambyar bodo  nangis ajah deh orang sebelah  pede ajah nangis,0
299,thats life keep moving on  kalimat  jd  utama film  kisah cinta bapak alm habibie  ibu alm ainun dikemas  manis sangat enak dinikmati kisahnya  awal hingga akhir sangat menyentuh bagaimana   romantisme disatukan dgn nasionalisme pictwittercommskszqf,0
300,jefri nichol  ahmad  habibie ainun   gue katakan  tweet review gue storyline ahmad inienarik  dibawakan apik  jefri flukuatif emosi  pacenya tetap terjaga pictwittercomlipnlfenl,0
302,sukses banget film habibie ainun buat gue nangis biasanya gue enggak pernah nangis enggak karuan  bioskop epik banget aktingnya maudyayunda  jefrinichol keren banget sih sumpah mampu membuat jiwa santuy  menangis rating buat film ,0
306,video deretan fakta penampilan reza rahadian  film habibie  ainun kok  semirip ,0
309,emang film habibie  ainun tu keren bgtttt,0
314,body shaming  how it affected the person  film imperfect jujur  jarang blg romcom indo baguss  biasanya romcom indo suka  cheesy  alay nya even  habibie ainun  bagian  super garing  enggak banget   imperfect sebaguss   bener,1
319,merayakan  nonton  film indonesia  mengangkat kisah  perempuan tangguh imperfect  habibie ainun   menuliskan sedikit  perempuan tangguh  kebetulan  ibuku  sini,0
323,gatau   keinget quote  habibie ainun   indah  dramatis   satu frekuensi udah  aja selebihnya maaf kamu renungin aja,0
324,lalu gue hangout sama bunda  nonton habibie ainun dananjirlah  awal aja gue udah nangis padahal baru opening tiap liat maudy ayunda sbg sosok bu ainun tuh rasanya mellow aja gitu emang   baper  sih,0
327, nonton habibie ainun  pelajaran    semua perempuan  memiliki kecerdasan entah  bidang apapun  sesuai  minat  bakat  kalian miliki perempuan   visioner be an independent girls jangan mengekang pikiran kalian,0
328,pas nonton habibie  ainun berasa mau jawab ahmad jefrinichol pas manggil ainun,0
329,dapet surprise  masuk ig story habibie ainun dong woi wkwkwkwk pictwittercomikdkfzsas,0
331,film habibie  ainun menggambarkan kepribadian sosok ibu ainun  sangat  luar biasa  film   meyajikan perjuangan hidup ibu ainun  menggapai cita tak lupa   kisah cinta eyang putri ainun  bertemu  eyang habibie,0
336,gue baru kelar nonton habibie  ainun dong anjir emang sekeren  hik,0
338,bahkan   indah  dramatis   satu frekuensi habibie  ainun,0
340,  imperpect  j habibie ainun  bukan reza  reza bukan,0
