,Tweet,Label
0,abis nonton habibie ainun pernah lihat repiew kata kurang ini  lha a bodo  aja lah waktu nonton  pikir gimana mau   frekuensi   baik kalau  bukti   mjd  baik,0
1,ken nntn habibie  ainun tapi ahh  lah,0
3,ajar  film habibie ainun kalau jodoh emang enggak bakal  walaupun udh nemu orang  nyata beda frekuensi sama   ttp aja enggak  cocok  jangan paksa  percaya sama pilih sendiri  memang  pilih  tetap tuhan  tentu,0
4,nonton habibie  ainun bang   tahu jawab,0
5,jadi cerita habis nonton habibie ainun terus keluar keluar  ketawa padahal harus sedih garagara keponakan   nang belakang  kelenger jadi   enggak jadi nang laaa,0
8,oke hari  nonton habibie  ainun imperfect maraton salah,0
9,bahkan   indah  dramatis    satu frekuensi habibie ainun,0
11,udah  nonton habibie  ainun ,0
12, nonton habibie ainun jadi makin pikir   dapat lelaki setia paket komplit  pak bj habibie harus cerdas berani  cantik  bu ainun kalo enggak  paling dapat bj salak gimana chol jefrinichol,0
13,i think indonesia should make a movie like habibie  ainun why because the movies make a orang learn a lot after i watched that movie should i being ainun who stand with her dreams,0
14,bahkan   indah  dramatis   satu frekuensi habibie ainun,0
15,the avengers end game buru perempuan tanah jahanam  garis biru habibie  ainun,0
16,  indah  dramatis   satu frekuensi habibie ainun,0
17,habibie ainun tu film hampir bikin gue netes   buku  sama tp halaman  beda saling bahagia tp ngga satu frekuensi  beda visi akhir pisah  kisah cinta ahmad  ainun,0
18, film habibie ainun gua ajar kalo cewek  enggak cukup punya cowok  sweet  cowok  satu visi  dukung semua prinsip hidup   pd diri cewek  harga segala keputusanya,0
19,kemaren  waktu nonton habibie  ainun tiba tiba tae muncul  layar gt langsung nahan teriak aja gue  tuhan sumpah  heboh sendiri liat taehyung  iklan,0
20, nonton habibieainun  kemudian pikir  tuhan memang jadi  jodoh hidup  semat selamat jalan eyang nang  tadi tuh,0
21, nonton habibie  ainun  berfikir  fiersabesari   saudara sama bu besar,0
22,nah kalo  lihat sih bukan   imperfect  segi cerita tokoh reza lebih  dukung kurang lebih sama bobot kayak adeknya ibu  sahabat rara trus habibie ainun lebih fokus  ainun malah judul lebih cocok ahmad ainun,0
25,ratu ilmu hitam habibie  ainun  garis biru imperfect sunyi,0
26,jadi   indah  dramatis   satu frekuensi habibie ainun,0
27,resensi film habibie  ainun akhir juang manis si gula jawa,0
29,habibie ainun  imperfect  akhir  posisi berapa  pictwittercomgkbzofuyy,0
32,habibie ainun  garis biru ratu ilmu hitam keluarga cemara dil  suka  seru banget   no  zara nya,0
34,ratu ilmu hitam habibie  ainun frozen danur perempuan tanah jahanam,0
35,frozen gundala  garis biru habibie  ainun perempuan tanah jahanam,0
36,habibie  ainun,0
37,moga  nonton film habibie  ainun  imperfect,0
38,medina zein kena sabu komennya  bilang soal keughtean  jilbabnyaa makin mengaminin kata ahmad  habibie ainun,0
40,minggu  mulai kamis  isi film indonesia semua imperfect habibie ainun nkcthi  rasuk,0
