,Tweet,Label
0,"Abis nonton habibie ainun 3, pernah lihat repiew2 katanya kurang inilah itulah,  Lha a bodo amat aja lah. Waktu nonton saya pikir gimana mau dapat yang  ""se-frekuensi dan yang terbaik"" kalau tidak membuktikan bahwa saya mjd yang terbaik.",0
1,Pengen nntn Habibie dan Ainun 3 tapii ahh sudah lah 🥺,0
3,"Pelajaran dari film Habibie & Ainun 3. Kalau jodoh emg gak bakalan kemana, walaupun udh nemu seseorang tapi ternyata beda frekuensi sama kita, ya ttp aja gak akan cocok dan jangan dipaksa, harus percaya sama pilihan sendiri. Kita memang bisa pilih tapi tetap Tuhan yg menentukan🤗",0
4,"Nonton Habibie dan Ainun 3, Bang 🙏🏼 nanti akan tahu jawabannya",0
5,"Jadi ceritanya habis nonton Habibie Ainun 3 .. Terus keluar keluar aku ketawa, padahal harusnya sedih. Gara-gara keponakan aku yang nangis belakangan dan kelenger sejadi2nya aku ya gak jadi nangis laaa😄",0
8,"oke hari ini nonton 1/2 habibie dan ainun 3, imperfect. maraton salah2",0
9,“...bahkan sesuatu yang indah dan dramatis pun belum tentu satu frekuensi” - Habibie Ainun 3,0
11,Udah pada nonton Habibie dan Ainun 3 belum?,0
12,"setelah nonton Habibie Ainun 3 jadi semakin berpikir, jika ingin mendapatkan lelaki setia paket komplit seperti pak B.J Habibie, haruslah cerdas, pemberani dan cantik seperti bu Ainun.. kalo gak ya paling dapatnya B.J Salak 🤣 gimana chol? @jefrinichol",0
13,"I think Indonesia should make a movie like Habibie dan Ainun 3.
Why?
Because the movies make a people learn a lot. 
After I watched that movie ""Should I being Ainun who stand with her dreams""",0
14,"Bahkan sesuatu yang indah dan dramatis belum tentu satu frekuensi
- Habibie & Ainun 3 -",0
15,"1. The avengers : end game
2. Perburuan
3. Perempuan tanah jahanam
4. Dua garis biru
5. Habibie dan ainun 3
#Top5Film2019",0
16,"Sesuatu yang indah dan dramatis belum tentu satu frekuensi. 

- Habibie & Ainun 3 -",0
17,"Habibie & Ainun 3.

Tu film hampir bikin gue netes.
""Kita di buku yg sama, tp halaman yg berbeda.""

Saling membahagiakan, tp ngga satu frekuensi dan beda visi. Akhirnya berpisah.
Ya, kisah cinta Ahmad dan Ainun.",0
18,"Dari film habibie ainun 3 gua belajar kalo cewek itu ga cukup punya cowok yang sweet, tapi cowok yg satu visi dan mendukung semua prinsip hidup yg ada pd diri ceweknya serta menghargai segala keputusanya. 9.5/10 ✨",0
19,"Kemaren jg waktu nonton Habibie dan Ainun 3, tiba tiba Tae muncul di layar gt. Langsung nahan teriak aja gue ya tuhan😭 Sumpah aku heboh sendiri liat Taehyung di iklan..  https://twitter.com/chimbaepsae/status/1211633414094221312 …",0
20,"Setelah nonton habibie-ainun 3 aku kemudian berpikir bahwa Tuhan memang menjadikan mereka jodoh sehidup dan semati. Selamat jalan eyang, nangis aku tadi tuh 😭😭",0
21,"Setelah nonton habibie dan ainun 3, aku berfikir apakah @FiersaBesari itu ada saudaraan sama bu besari??",0
22,"Nah, kalo saya lihat sih bukan ya. Di Imperfect, dari segi cerita, tokoh Reza lebih ke pendukung. Kurang lebih sama bobotnya kayak adeknya, ibunya, dan sahabatnya Rara. Trus Habibie & Ainun 3 lebih fokus ke Ainun. Malah judulnya lebih cocok Ahmad & Ainun 😅.",0
25,"1.ratu ilmu hitam
2.habibie dan Ainun 3
3.dua garis biru
4. Imperfect
5.sunyi",0
26,Jadi sesuatu yang indah dan dramatis belum tentu satu frekuensi ~Habibie & Ainun 3  https://www.instagram.com/p/B6nnhicgGmv/?igshid=1tdtkxkmbsf6f …,0
27,"Resensi Film: ""Habibie dan Ainun 3"", Akhir Perjuangan Manis Si Gula Jawa  http://dlvr.it/RM87gh ",0
29,Habibie & Ainun 3 dan Imperfect akan berakhir di posisi berapa di #BoxOfficeIndonesia? pic.twitter.com/GKB3ZOFUyY,0
32,"1.Habibie Ainun 3
2.Dua Garis Biru
3.Ratu Ilmu Hitam
4.Keluarga Cemara
5.Dilan 1991
*Aku suka karena seru banget, dan di no 2-5 ada Zara nya😝🤣
#Top5Film2019",0
34,"1. Ratu Ilmu Hitam
2. Habibie dan Ainun
3. Frozen 2
4. Danur
5. Perempuan Tanah Jahanam

#Top5Film2019",0
35,"Frozen 2
Gundala
Dua Garis Biru
Habibie dan Ainun 3
Perempuan Tanah Jahanam
#Top5Film2019",0
36,Habibie dan Ainun 3 #Top5Film2019,0
37,"Semoga bisa nonton film Habibie dan Ainun 3, dan IMPERFECT",0
38,Medina zein kena sabu komennya pada bilang soal keughtean dan jilbabnyaa. Semakin mengaminin kata2 ahmad di habibie ainun 3.,0
40,"Minggu ini mulai Kamis nanti isinya film Indonesia semua. Imperfect, Habibie Ainun 3, NKCTHI, dan Rasuk 2.",0
42,"Lihat Habibie dan Ainun 3 berasa kayak lihat Dilan 1991. Sedih, nangis, kesel juga 🥺🥺
@jefrinichol
@maudyayunda
#HabibieAinun3",0
43,"""sesuatu yang indah dan dramatis belum tentu satu frekuensi"" ~ Habibie Ainun 3",0
45,"Habibie dan Ainun 3

Maunya apa sih ini?",0
46,Janganlah ada yang bandingin Imperfect dan Habibie Ainun 3. Masing-masing akan menyentuh relungmu dengan caranya. Jangan lupak nonton! Itu pesanku 🤗🤗🤗,0
47,Baru nonton habibie dan ainun 3 ada satu hal yang baru aku sadari ternyata jefri nichol ganteng banget,0
48,"Berasa wajib banget nonton Habibie Ainun 3 karena @jefrinichol sampe boyong suami, anak, dan mamer. Terima kasih, Ahmad. Walaupun kita tidak satu frekuensi, namun percayalah kita akan bahagia dengan jalan kita masing-masing.  pic.twitter.com/7H8TuxDELB",0
50,"Dari film habibie ainun 3 dapat diambil pelajaran, walaupun sudah mencapai tahap serius dan saling merasa cocok. Ketika visi dan persepsi berbeda maka perpisahan resikonya.",0
52,"Dear Habibie Ainun 3 Cast...
@officialpilarez @jefrinichol @maudyayunda dll aku dan temen ku mengulas film ini dr sisi psikologi, seru bngt bahasannya dan mudah dipahamin.

Dukungan kalian utk share ulasannya akan sngt bermanfaat untk edukasi masyarakat Indonesia ❤️❤️  https://twitter.com/itsigania/status/1211253508155965440 …",0
53,"“Kita berada dalam buku yang sama, tapi halaman yang berbeda,” kata Ainun kepada Ahmad (Habibie Ainun 3)
•
""Kita berada dalam buku dan halaman yang sama,"" Kata @KrisnaPanji3 kepada savanabila 

Menyatukan Misi untuk…  https://www.instagram.com/p/B6p4ZYHAgmv/?igshid=1tyam8a7w4ck …",0
57,"135. Habibie & Ainun 3 (2019)
Melawan patriarki, meraih mimpi, dan melepaskan kekasih hati yang tdk se-frekuensi. Reza Rahardian tetap amazing as always. Chemistry-nya @maudyayunda dan @jefrinichol manis banget si. Mereka sedih aku ikut sedih 😭 9/10 pic.twitter.com/iENCtRSClC",0
58,habibie dan ainun 3. seperti yang dijangka. cerita penuh kata kata yang menarik dan kisah kehidupan yang bagus. patut ditonton. 5/5  pic.twitter.com/HC1V4P7GUz,0
59,"Sesuatu yang indah dan dramatis,belum tentu satu frekuensi.

-Habibie & Ainun 3",0
61,"Ketika semua berbicara tentang film Habibie Dan Ainun 3. Dan uweee blm menonton..
Mana jiwa nasionalismu, akhbrooo .. 😅😅😅😆🌞🌟",0
62,"Habibie dan Ainun 3. ada juga yang siar. (@ MBO Cinemas in Klang, Selangor)  https://www.swarmapp.com/c/i7zjXPfK4t0 ",0
64,Baru aja liat breakdown VFX Habibie dan Ainun 3. Jadi inget Captain America First Avenger.,0
68,Mending nonton habibie dan ainun 3 atau frozen 2?,0
71,"Apa yang diri sendiri harapkan terkadang tidak sesuai ekspetasi yang terjadi dalam realita

Film Habibie Ainun 3 mengajarkan banyak pelajaran hidup yang berharga; mulai dari pertemanan, percintaan, keluarga, dan masih banyak lagi

9.5/10 buat filmnya

@jefrinichol",0
74,"""Sesuatu yg indah dan dramatis belum tentu satu frekuensi."" _Habibie & Ainun 3",0
