tweet,label
Portal Berita Viral: Uang 75 Ribu yang Diburu Kolektor hingga Hoaks Baj...  https://portalberitav.blogspot.com/2020/08/uang-75-ribu-yang-diburu-kolektor.html?spref=twÂ â¦,1
"Sekarang Mata Uang 75 Ribu (baru) yang dikritik, good night!",1
Uang pecahan Rp 75 ribu diproduksi terbatas untuk memperingati hari kemerdekaan Indonesia. Uang ini langsung ramai dicari. Kenapa ya? Ini penjelasan psikolog.  https://health.detik.com/berita-detikhealth/d-5140541/kenapa-uang-rp-75-ribu-ramai-dicari-psikolog-jelaskan-daya-tariknya?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikhealth&utm_source=Twitter#Echobox=1597914107Â â¦,0
"Kelak Muhammad Izzam Athaya, sosok anak yang pakai baju adat Tidung, Kalimantan Utara  dalam uang Rp 75.000 yang dikira orang China, akan berkata kepada anak cucunya :

'Nak, dulu wajah saya ini masuk uang 75 ribu lho, dan dibilang orang China'

#SukuTidung",0
kalian dah punya uang 75 ribu?,1
"Menurut saya bukan uang pecahan 75.000( tujuh pulh lima ribu) yg harus dipersoalkan,tapi harusnya kenapa BI mencetak uang baru lagi.",1
Hari ini yg lagi heboh di berita uang baru terbita BI pecahan 75.000.( tujuh puluh lima ribu),0
Menpora turut menyaksikan peluncuran uang pecahan Rp75 ribu sebagai peringatan kemerdekaan ke-75 RI. #Kemenpora https://m.jpnn.com/news/menpora-ikut-saksikan-peluncuran-uang-pecahan-rp75-ribuÂ â¦,0
apakah uang 75 ribu ini bisa digunakan untuk transaksi jual beli  https://twitter.com/bank_indonesia/status/1296062097315336192Â â¦,0
"DUKUN INI DIKASIH AMPLOP ISI 75RIBU DARI OJOL, UANG VIRAL #uangbaru #uang75ribu  https://youtu.be/ba-Db8LTiBcÂ ",0
"Dicetak Terbatas, Uang Pecahan 75 Ribu Edisi Kemerdekaan Diburu Warga  http://dlvr.it/Rf13x1Â  pic.twitter.com/II5QfZkDNS",0
" https://news.detik.com/berita/d-5140527/adat-tidung-di-uang-rp-75-ribu-gubernur-kritik-tuduhan-kotor-salah-cetakÂ â¦

Gubernur Kalimantan Utara Irianto Lambrie mengatakan baju atau Suku Tidung di uang pecahan Rp 75 ribu edisi khusus peringatan 75 tahun Kemerdekaan RI.",0
