,tweet,label
0,portal berita viral uang ribu yang diburu kolektor hingga hoaks baj,1
1,sekarang mata uang ribu baru yang dikritik good night,1
2,uang pecahan rupiah ribu diproduksi terbatas untuk memperingati hari kemerdekaan indonesia uang ini langsung ramai dicari kenapa ya ini penjelasan psikolog,0
3,kelak muhammad izzam athaya sosok anak yang pakai baju adat tidung kalimantan utara dalam uang rupiah yang dikira orang china akan berkata kepada anak cucunya nak dulu wajah saya ini masuk uang ribu lho dan dibilang orang china,0
4,kalian dah punya uang ribu,1
5,menurut saya bukan uang pecahan tujuh pulh lima ribu yang harus dipersoalkantapi harusnya kenapa bi mencetak uang baru lagi,1
6,hari ini yang lagi heboh di berita uang baru terbita bi pecahan tujuh puluh lima ribu,0
7,menpora turut menyaksikan peluncuran uang pecahan rupiah ribu sebagai peringatan kemerdekaan ke ri,0
9,dukun ini dikasih amplop isi ribu dari ojol uang viral,0
10,dicetak terbatas uang pecahan ribu edisi kemerdekaan diburu warga pictwittercomiiqfzkdns,0
11,gubernur kalimantan utara irianto lambrie mengatakan baju atau suku tidung di uang pecahan rupiah ribu edisi khusus peringatan tahun kemerdekaan ri,0
12,sejak diluncurkan minat masyarakat miliki uang pecahan rupiah ribu sangat tinggi via aboutcirebonid,0
14,uang khusus hut ri ke kok cuma puluhan ribu begini jawaban bi lewat repelita,1
15,baru sadar ada ikon jembatan merah yotefa jayapura dimata uang ribu,0
16,bank indonesia bi resmi menerbitkan uang baru pecahan rupiah ribu uang ini diterbitkan secara terbatas yakni hanya juta lembar provinsi riau sendiri hanya mendapatkan jatah juta lembar riau,0
17,kenapa uang rupiah ribu ramai dicari psikolog jelaskan daya tariknya,0
19,kupon nya memang tidak bisa dibelanjakan tapi uang yang dikumpulkan dari rakyat yang membeli kupon bisa digunakan untuk mengurangi beban negara khususnya anggaran sosial cerdas dari rakjat oentoek rakjat,1
20,ada yang masih nyimpen kupon atau uang sumbangan sosial ini salah satu skema cerdas fundraising pemerintah di era an pictwittercomlqqjpfxij,1
21,tudingan miring di uang rupiah ribu gubernur kaltara menyedihkan,1
22,ada yang nawari saya uang baru rupiah ribu dgn harga rupiah juta langsung saya jawab kamu gila uang itu alat tukar sesuai nominalnya bukan souvenir atau barang seni yang dipajang memangnya pemerintah cetak uang untuk cari dana kayak cetak lukisan lha kok saya dituduh kuper,1
24,yang uang ribu ituuuyang limited edition dr bi ituuu,1
