,tweet
0,portal berita viral uang ribu yang diburu kolektor hingga hoaks baj 
1,sekarang mata uang ribu baru yang dikritik good night
2,uang pecahan rupiah ribu diproduksi terbatas untuk memperingati hari kemerdekaan indonesia uang ini langsung ramai dicari kenapa ya ini penjelasan psikolog 
3,kelak muhammad izzam athaya sosok anak yang pakai baju adat tidung kalimantan utara dalam uang rupiah yang dikira orang china akan berkata kepada anak cucunya nak dulu wajah saya ini masuk uang ribu lho dan dibilang orang china
4,kalian dah punya uang ribu
5,menurut saya bukan uang pecahan tujuh pulh lima ribu yang harus dipersoalkantapi harusnya kenapa bi mencetak uang baru lagi
6,hari ini yang lagi heboh di berita uang baru terbita bi pecahan tujuh puluh lima ribu
7,menpora turut menyaksikan peluncuran uang pecahan rp ribu sebagai peringatan kemerdekaan ke ri 
8,apakah uang ribu ini bisa digunakan untuk transaksi jual beli 
9,dukun ini dikasih amplop isi ribu dari ojol uang viral 
10,dicetak terbatas uang pecahan ribu edisi kemerdekaan diburu warga pictwittercomiiqfzkdns
11, gubernur kalimantan utara irianto lambrie mengatakan baju atau suku tidung di uang pecahan rupiah ribu edisi khusus peringatan tahun kemerdekaan ri
12,sejak diluncurkan minat masyarakat miliki uang pecahan rupiah ribu sangat tinggi via aboutcirebonid
13,uang rupiah ribu diburu antrean di bi malang full sampai bulan depan via radar malang online
14,uang khusus hut ri ke kok cuma puluhan ribu begini jawaban bi lewat repelita
15,baru sadar ada ikon jembatan merah yotefa jayapura dimata uang ribu 
16, bank indonesia bi resmi menerbitkan uang baru pecahan rp ribu uang ini diterbitkan secara terbatas yakni hanya juta lembar provinsi riau sendiri hanya mendapatkan jatah juta lembar riau 
17,kenapa uang rupiah ribu ramai dicari psikolog jelaskan daya tariknya 
19,kupon nya memang tidak bisa dibelanjakan tapi uang yang dikumpulkan dari rakyat yang membeli kupon bisa digunakan untuk mengurangi beban negara khususnya anggaran sosial cerdas dari rakjat oentoek rakjat
20,ada yang masih nyimpen kupon atau uang sumbangan sosial ini salah satu skema cerdas fundraising pemerintah di era an pictwittercomlqqjpfxij
21,tudingan miring di uang rupiah ribu gubernur kaltara menyedihkan 
22,ada yang nawari saya uang baru rupiah ribu dgn harga rupiah juta langsung saya jawab kamu gila uang itu alat tukar sesuai nominalnya bukan souvenir atau barang seni yang dipajang memangnya pemerintah cetak uang untuk cari dana kayak cetak lukisan lha kok saya dituduh kuper
23,uang kok diperjualbelikan uang ribu dibeli dengan uang ribu heran 
24,yang uang ribu ituuuyang limited edition dr bi ituuu
26,dijamin bagi siapa saja yang baca tweet ini pasti belum punya uang pecahan seperti pada foto saya berani beli rupiah tiap lembarnya pictwittercompgjvlg
27,adat tidung di gbr uang ribu yang di tuduh china buzer peliharaan kah ramlirizal msaiddidu ustadtengkuzul hnurwahid mardanialisera adhiemassardi runturambiw christwamea hilmi orangkoslet alineyoanatan lisaamartatara kangsemproel
28,terus masalah nya apa situ sama saya si ayahnya aja enggak merasa keberetan atau terlalu di pikirkan dalam pecahan uang kertas ribu kalo saya bilang enggak level sama cina terus kenapa
31,acehkini video antusiasme warga aceh berburu uang khusus rupiah ribu untuk koleksi 
33,adat tidung di uang rupiah ribu gubernur kritik tuduhan kotor salah cetak saya dukung pak gubernur perkarakan penuduh tsb biar jera
34,video antusiasme warga aceh berburu uang khusus rupiah ribu untuk koleksi 
35,uang ribu yang diburu kolektor hingga hoaks baju china 
36,ternyata anak chinna yang ada digambar uang ribu rupiah 
37,ada gambar jembatan youtefa dan pakaian adat papua di pecahan uang rupiah ribu 
38,uang baru bank indonesia pecahan rupiah disebut bergaya pendalungan jember bertepatan peringatan hari ulang tahun hut kemerdekaan republik indonesia ke bank indonesia meluncurkan uang baru pecahan ribu rupiah 
39,orangtua bangga foto anaknya ada di uang rupiah ribu lewat youtube
40,orang ke yang memiliki uang rupiah ribu antre sejak pagi di kantor bi lewat tribunnews
41,apa sudah ada yang menjualmenawar uang ribu seharga juta
42,wanita ini jadi orang ke pemilik uang rupiah ribu antre di kantor bi sejak pagi excited banget via tribunjatim
45,video tiktok orang ke pemilik uang rupiah ribu di bali viral datangi bank indonesia pagipagi 
46,mootss ada yang nukar uang ribu baru wkwk
47,uang ribu pun dibilang bergambar pakaian tradisional cina padahal aslinya pakaian suku tidung di kalimantan utara begitulah orang yang kebanyakan makan sara jadinya bodok begok goblok tolol ediot 
50,tips simpan uang baru rupiah ribu di rumah agar rapi dan awet 
52,bi jawab tudingan raup untung rupiah triliun dari uang pecahan ribu rupiah pictwittercomeglbqx
53,uang dikeluarkan saat hut indonesia ke 
54,rentetan kasus yang mirip ketika buzzer saling serang tuduhan anak kecil dan baju adat kalimantan di uang ribu yang baru tapi di isukan dari china kenapa berani berasumsi demikian lah wong yang ngangkat isunya aja pake akun cloninganfake masak kamu lgsung percya gitu aja
55,selain diproduksi terbatas yaitu hanya juta lembar penukaran uang pecahan rp ribu ini juga sangat ketat satu ktp hanya boleh menukarkan satu lembar pecahan uang rp ribu 
58,uang rupiah ribu diburu antrean di bi malang full sampai bulan depan lewat radar malang online
59,begini antusias warga tukar uang pecahan baru rupiah ribu untuk koleksi 
60,selamat utk adik yang wajahnya berada di uang ribu rupiah edisi khusus muhammad izzam athaya siswa sd kota tarakan ananda saubaki siswi sdn naikoten kota kupang aditya perpatih siswa sdn kota selatan kota gorontalo pictwittercomacfvqvch
