,tweet,label
0,portal berita viral uang ribu yang diburu kolektor hingga hoaks baj,1
3,kelak muhammad izzam athaya sosok anak yang pakai baju adat tidung kalimantan utara dalam uang rupiah yang dikira orang china akan berkata kepada anak cucunya nak dulu wajah saya ini masuk uang ribu lho dan dibilang orang china,0
4,kalian dah punya uang ribu,1
5,menurut saya bukan uang pecahan tujuh pulh lima ribu yang harus dipersoalkantapi harusnya kenapa bi mencetak uang baru lagi,1
6,hari ini yang lagi heboh di berita uang baru terbita bi pecahan tujuh puluh lima ribu,0
9,dukun ini dikasih amplop isi ribu dari ojol uang viral,0
10,dicetak terbatas uang pecahan ribu edisi kemerdekaan diburu warga pictwittercomiiqfzkdns,0
11,gubernur kalimantan utara irianto lambrie mengatakan baju atau suku tidung di uang pecahan rupiah ribu edisi khusus peringatan tahun kemerdekaan ri,0
12,sejak diluncurkan minat masyarakat miliki uang pecahan rupiah ribu sangat tinggi via aboutcirebonid,0
14,uang khusus hut ri ke kok cuma puluhan ribu begini jawaban bi lewat repelita,1
15,baru sadar ada ikon jembatan merah yotefa jayapura dimata uang ribu,0
16,bank indonesia bi resmi menerbitkan uang baru pecahan rupiah ribu uang ini diterbitkan secara terbatas yakni hanya juta lembar provinsi riau sendiri hanya mendapatkan jatah juta lembar riau,0
17,kenapa uang rupiah ribu ramai dicari psikolog jelaskan daya tariknya,0
18,seumur umur dr jaman uang perak sampai munculnya uang ribu kayanya enggak ada penerbitan terbatas sampe pake ktp buat ngambil uangnya k bank atau saya yang lupa atau gmn rb yang baru mncul ini ribet bener,1
19,kupon nya memang tidak bisa dibelanjakan tapi uang yang dikumpulkan dari rakyat yang membeli kupon bisa digunakan untuk mengurangi beban negara khususnya anggaran sosial cerdas dari rakjat oentoek rakjat,1
20,ada yang masih nyimpen kupon atau uang sumbangan sosial ini salah satu skema cerdas fundraising pemerintah di era an pictwittercomlqqjpfxij,1
23,uang kok diperjualbelikan uang ribu dibeli dengan uang ribu heran,1
25,klean udh dpt uang ribu itu blom,0
26,dijamin bagi siapa saja yang baca tweet ini pasti belum punya uang pecahan seperti pada foto saya berani beli rupiah tiap lembarnya pictwittercompgjvlg,0
27,adat tidung di gbr uang ribu yang di tuduh china buzer peliharaan kah ramlirizal msaiddidu ustadtengkuzul hnurwahid mardanialisera adhiemassardi runturambiw christwamea hilmi orangkoslet alineyoanatan lisaamartatara kangsemproel,1
30,uang pecahan rupiah ribu diproduksi terbatas untuk memperingati hari kemerdekaan indonesia uang ini langsung ramai dicari kenapa ya ini penjelasan psikolog via detikhealth,1
31,acehkini video antusiasme warga aceh berburu uang khusus rupiah ribu untuk koleksi,1
32,uang ribu yang diburu kolektor hingga hoaks baju china,1
37,ada gambar jembatan youtefa dan pakaian adat papua di pecahan uang rupiah ribu,1
38,uang baru bank indonesia pecahan rupiah disebut bergaya pendalungan jember bertepatan peringatan hari ulang tahun hut kemerdekaan republik indonesia ke bank indonesia meluncurkan uang baru pecahan ribu rupiah,0
39,orangtua bangga foto anaknya ada di uang rupiah ribu lewat youtube,0
40,orang ke yang memiliki uang rupiah ribu antre sejak pagi di kantor bi lewat tribunnews,0
41,apa sudah ada yang menjualmenawar uang ribu seharga juta,0
42,wanita ini jadi orang ke pemilik uang rupiah ribu antre di kantor bi sejak pagi excited banget via tribunjatim,0
43,tips simpan uang baru rupiah ribu di rumah agar rapi dan awet,0
44,sesungguhnya warga itu kagetan kaget corona kaget psbb kaget belajar daring kaget sepedaan eh sekarang kaget uang rebu,0
45,video tiktok orang ke pemilik uang rupiah ribu di bali viral datangi bank indonesia pagipagi,0
46,mootss ada yang nukar uang ribu baru wkwk,0
47,uang ribu pun dibilang bergambar pakaian tradisional cina padahal aslinya pakaian suku tidung di kalimantan utara begitulah orang yang kebanyakan makan sara jadinya bodok begok goblok tolol ediot,1
49,warga antusias tukar uang pecahan baru rupiah ribu untuk koleksi,0
51,kenapa ya susah amat ya daftar untuk dapat uang,0
52,bi jawab tudingan raup untung rupiah triliun dari uang pecahan ribu rupiah pictwittercomeglbqx,1
53,uang dikeluarkan saat hut indonesia ke,0
54,rentetan kasus yang mirip ketika buzzer saling serang tuduhan anak kecil dan baju adat kalimantan di uang ribu yang baru tapi di isukan dari china kenapa berani berasumsi demikian lah wong yang ngangkat isunya aja pake akun cloninganfake masak kamu lgsung percya gitu aja,1
55,selain diproduksi terbatas yaitu hanya juta lembar penukaran uang pecahan rupiah ribu ini juga sangat ketat satu ktp hanya boleh menukarkan satu lembar pecahan uang rupiah ribu,0
56,sekalinya ada penukaran di sulawesi barat indonesia luas sekali ya saya di banten dan yang tersedia di sulawesi barat btw kalo dibelanjain di warung ribet nih haha pictwittercomfeuzvk,1
57,temen saya berpendapat bahwa uang ribu itu bisa kita buat langka dengan cara memusnahkan uang ribu lainnya seperti kartu blue eyes di yugioh dia lupa kalau ada undang tentang mata uang simbol negara itu ah,1
58,uang rupiah ribu diburu antrean di bi malang full sampai bulan depan lewat radar malang online,0
61,hari kemerdekaan tahun indonesiaku dgn pencapaian yang lebih baik tergambar dari uang baru nominal ribu perjuangan bangsa indonesia dari awal bersama para pahlawan kita dan tokoh tokoh indonesia tidak lupa juga masyarakatnya yang bersatu melawan penjajah,0
62,uang rupiah ribu diburu antrean di bi malang full sampai bulan depan,0
66,yang bilang adek ini orang cina di mata uang ribu yang baru berapa orang si hobinya seneng banget gorenggoreng isu beginian,1
67,ha ha ha sayang saya enggak pingin beli uang ribu masih ada yang ribu toh lebih banyak manfaat rebu dari rebu cuma kesing doang enggak ada yang bisa dibanggakan tahun kemerdekaan rezim sekarang bisanya cuma segitu,1
68,uang ribu bagus woi mauuu pictwittercomrdcxmjrnx,0
71,mitra mtb ternyata nggak cuma pecahan ribu aja loh yang jadi nominal rupiah edisi khusus sebelumnya sudah ada beberapa uang rupiah edisiedisi khusus yang lain kirakira kalo kamu pinginnya ada uang edisi khusus pecahan berapa sih share di yaa,0
73,heboh shopee depak pedagang uang kertas rupiah ribu di lapaknya kenapa bank indonesia,1
74,ldk ldk,0
75,seandainya cara mendapatkanmu sama seperti uang ribu iya kamu human pictwittercomvrngvvtpc,0
76,udah ada yang punya uang pecahan baru ribu minta dong,0
77,ini fakta dibalik uang baru rupiah ribu,0
78,sugeng enjing lur bank indonesia baru saja mengeluarkan uang ribu edisi khusus kemerdekaan indonesia ke di sana ada penutup kepala tradisional pria jawa lho ya blangkon pictwittercomdprhhzrhe,0
79,kalau bisa dapetin uang pecahan baru ribu mau kamu pake untuk apa gaes,0
