,tweet,label
2,Uang pecahan Rp 75 ribu diproduksi terbatas untuk memperingati hari kemerdekaan Indonesia. Uang ini langsung ramai dicari. Kenapa ya? Ini penjelasan psikolog.  https://health.detik.com/berita-detikhealth/d-5140541/kenapa-uang-rp-75-ribu-ramai-dicari-psikolog-jelaskan-daya-tariknya?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikhealth&utm_source=Twitter#Echobox=1597914107Â â¦,0
8,apakah uang 75 ribu ini bisa digunakan untuk transaksi jual beli  https://twitter.com/bank_indonesia/status/1296062097315336192Â â¦,0
21,"Tudingan Miring di Uang Rp 75 Ribu, Gubernur Kaltara: Menyedihkan!  https://20.detik.com/detikflash/20200820-200820086/tudingan-miring-di-uang-rp-75-ribu-gubernur-kaltara-menyedihkan?utm_source=twitter&utm_medium=oa&utm_content=20detik&utm_campaign=cmssocmedÂ â¦",1
24,Yg uang 75 ribu ituuu...yg limited edition dr bi ituuu,1
29,"Dicetak 75 Juta Lembar,Uang Baru Rp 75.000 Ternyata Hanya Untuk Koleksi Bukan Untuk Transaksið¤

Modal Kertas+Cetak trus di jual ke rakyat seharga Rp 75 Ribu/Lembar,sudah berapa uang rakyat yg di ambil ma rezim ini?
Ini sama halnya ð #JokowiNyusahinRakyat https://www.swarakyat.com/2020/08/dicetak-75-juta-lembar-uang-baru.htmlÂ â¦",1
33,"Adat Tidung di Uang Rp 75 Ribu, Gubernur Kritik Tuduhan Kotor Salah Cetak  http://detik.id/6XdjBTÂ  Saya dukung pak Gubernur perkarakan penuduh2 tsb biar jera",1
34,Video: Antusiasme Warga Aceh Berburu Uang Khusus Rp 75 Ribu untuk Koleksi. #acehkini  https://kumparan.com/acehkini/video-antusiasme-warga-aceh-berburu-uang-khusus-rp-75-ribu-untuk-koleksi-1u2SLKEcXNA?utm_source=kumDesktop&utm_medium=twitter&utm_campaign=share&shareID=lIkxQ9yzRVljÂ â¦,1
48,Sosok anak kecil yang ada dipecahan uang Rp 75 ribu yang mengenakan pakaian adat menjadi kontrovesi.  #Bajuadattidung https://www.genpi.co/berita/59554/terungkap-sosok-bocah-pakai-baju-adat-tidung-di-uang-rp-75-ribuÂ â¦,0
60,"Selamat utk adik2 yg wajahnya berada di uang 75 ribu rupiah edisi khusus:
Muhammad Izzam Athaya (siswa SD 041 kota Tarakan), Ananda Saubaki (siswi SDN Naikoten 1 kota Kupang), Aditya Perpatih (siswa SDN 27 kota Selatan kota Gorontalo)  pic.twitter.com/a0cFvqV4Ch",0
63,Masyarakat antusias dapatkan uang edisi khusus Rp 75 ribu  http://dlvr.it/RdzZqJÂ ,0
65,Warga Gorontalo antusias ingin memiliki Uang Peringatan Kemerdekaan (UPK) Rp 75 Ribu.  https://finance.detik.com/moneter/d-5139528/warga-serbu-penukaran-uang-rp-75-ribu-daftar-antrean-penuh?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikfinance&utm_source=Twitter#Echobox=1597887027Â â¦,0
69,Cerita Pemotretan Rahasia Anak Gorontalo Untuk Uang Rp 75 Ribu  https://20.detik.com/detikflash/20200820-200820017/cerita-pemotretan-rahasia-anak-gorontalo-untuk-uang-rp-75-ribu?utm_source=twitter&utm_medium=oa&utm_content=20detik&utm_campaign=cmssocmedÂ â¦,0
72,"Jadi Buruan Kolektor, Ini Keistimewaan Uang Baru Rp 75 Ribu  https://batamtoday.com/home/read/152139/Jadi-Buruan-Kolektor-Ini-Keistimewaan-Uang-Baru-Rp-75-RibuÂ â¦",0
82,BELI UANG PECAHAN 75 RIBU - Ustadz Ammi Nur Baits #HijrahInstitute #ayohijrah #pemudahijrah https://www.youtube.com/watch?v=EP9xKHYs7c8Â â¦,0
86,"Ada orang beli sembako habis 33.500 pake uang baru 75 ribu

Otak yg mau kasih kembalian :  pic.twitter.com/Ltm25sBm3C",0
97,"Perkenalkan nama saya  ""Muhammad Izzam Athaya"" 
Asli suku kidung Kalimantan Utara

Saya di katain china.......
#uang75ribu #HUTRI75 #SukuTidung #Kalimantantengah pic.twitter.com/3zRKipJB7E",0
98,Dukun Ini Dapat Amplop 75Ribu Uang Viral Dari Ojol #uang75ribu #uangviral75ribu #75 Tayang 200820 Pkl.20.00 di #AfandiChannel pic.twitter.com/LWzD6D0Eli,0
114,FOTO: Uang Pecahan Rp 75 Ribu  https://indozone.id/s/qEsjrnZÂ  pic.twitter.com/Vmb5Hy7vEp,0
122,Fakta Suku Tidung di Uang Pecahan Baru Rp 75 Ribu  https://youtu.be/gjLJoNX2W-QÂ  via @YouTube,0
138,#KabarJombang BRI Belum Bisa Pastikan Kapan Uang Baru Rp 75 Ribu Beredar di Jombang  https://kabarjombang.com/bri-belum-bisa-pastikan-kapan-uang-baru-rp-75-ribu-beredar-di-jombang/Â â¦,0
144,"Aa mendapat kunjungan dari Bapak Erwin Soeriadimadja, Kepala Kantor Perwakilan Bank Indonesia Banten  untuk menerima uang edisi khusus Peringatan Kemerdekaan pecahan 75 ribu rupiah yang baru saja dirilis tanggal 17â¦  https://www.instagram.com/p/CEEj-L5JV6n/?igshid=1ejsbzniuhuapÂ â¦",0
145,"Tadi siang saya berbincang-bincang dengan kawan yang orang Tidung, menanyakan perihal pakaian adat yang tergambar di uang 75 ribu itu. Dia bilang itu salah satu pakaian adat Tidung.  https://twitter.com/mascepp/status/1295706848415191040Â â¦",0
