,tweet,label
2,uang pecahan rupiah ribu diproduksi terbatas untuk memperingati hari kemerdekaan indonesia uang ini langsung ramai dicari kenapa ya ini penjelasan psikolog,0
8,apakah uang ribu ini bisa digunakan untuk transaksi jual beli,0
21,tudingan miring di uang rupiah ribu gubernur kaltara menyedihkan,1
24,yang uang ribu ituuuyang limited edition dr bi ituuu,1
29,dicetak juta lembaruang baru rupiah ternyata hanya untuk koleksi bukan untuk transaksi modal kertascetak trus di jual ke rakyat seharga rupiah ribulembarsudah berapa uang rakyat yang di ambil ma rezim ini ini sama halnya,1
33,adat tidung di uang rupiah ribu gubernur kritik tuduhan kotor salah cetak saya dukung pak gubernur perkarakan penuduh tsb biar jera,1
34,video antusiasme warga aceh berburu uang khusus rupiah ribu untuk koleksi,1
48,sosok anak kecil yang ada dipecahan uang rupiah ribu yang mengenakan pakaian adat menjadi kontrovesi,0
60,selamat utk adik yang wajahnya berada di uang ribu rupiah edisi khusus muhammad izzam athaya siswa sd kota tarakan ananda saubaki siswi sdn naikoten kota kupang aditya perpatih siswa sdn kota selatan kota gorontalo pictwittercomacfvqvch,0
63,masyarakat antusias dapatkan uang edisi khusus rupiah ribu,0
65,warga gorontalo antusias ingin memiliki uang peringatan kemerdekaan upk rupiah ribu,0
69,cerita pemotretan rahasia anak gorontalo untuk uang rupiah ribu,0
72,jadi buruan kolektor ini keistimewaan uang baru rupiah ribu,0
82,beli uang pecahan ribu ustadz ammi nur baits,0
86,ada orang beli sembako habis pake uang baru ribu otak yang mau kasih kembalian pictwittercomltmsbmc,0
97,perkenalkan nama saya muhammad izzam athaya asli suku kidung kalimantan utara saya di katain china pictwittercomzrkipjbe,0
98,dukun ini dapat amplop ribu uang viral dari ojol tayang pukul di pictwittercomlwzddeli,0
114,foto uang pecahan rupiah ribu pictwittercomvmbhyvep,0
122,fakta suku tidung di uang pecahan baru rupiah ribu via youtube,0
138,bri belum bisa pastikan kapan uang baru rupiah ribu beredar di jombang,0
144,aa mendapat kunjungan dari bapak erwin soeriadimadja kepala kantor perwakilan bank indonesia banten untuk menerima uang edisi khusus peringatan kemerdekaan pecahan ribu rupiah yang baru saja dirilis tanggal,0
