,tweet,label
0,Portal Berita Viral: Uang 75 Ribu yang Diburu Kolektor hingga Hoaks Baj...  https://portalberitav.blogspot.com/2020/08/uang-75-ribu-yang-diburu-kolektor.html?spref=twÂ â¦,1
1,"Sekarang Mata Uang 75 Ribu (baru) yang dikritik, good night!",1
3,"Kelak Muhammad Izzam Athaya, sosok anak yang pakai baju adat Tidung, Kalimantan Utara  dalam uang Rp 75.000 yang dikira orang China, akan berkata kepada anak cucunya :

'Nak, dulu wajah saya ini masuk uang 75 ribu lho, dan dibilang orang China'

#SukuTidung",0
4,kalian dah punya uang 75 ribu?,1
5,"Menurut saya bukan uang pecahan 75.000( tujuh pulh lima ribu) yg harus dipersoalkan,tapi harusnya kenapa BI mencetak uang baru lagi.",1
6,Hari ini yg lagi heboh di berita uang baru terbita BI pecahan 75.000.( tujuh puluh lima ribu),0
7,Menpora turut menyaksikan peluncuran uang pecahan Rp75 ribu sebagai peringatan kemerdekaan ke-75 RI. #Kemenpora https://m.jpnn.com/news/menpora-ikut-saksikan-peluncuran-uang-pecahan-rp75-ribuÂ â¦,0
9,"DUKUN INI DIKASIH AMPLOP ISI 75RIBU DARI OJOL, UANG VIRAL #uangbaru #uang75ribu  https://youtu.be/ba-Db8LTiBcÂ ",0
10,"Dicetak Terbatas, Uang Pecahan 75 Ribu Edisi Kemerdekaan Diburu Warga  http://dlvr.it/Rf13x1Â  pic.twitter.com/II5QfZkDNS",0
11," https://news.detik.com/berita/d-5140527/adat-tidung-di-uang-rp-75-ribu-gubernur-kritik-tuduhan-kotor-salah-cetakÂ â¦

Gubernur Kalimantan Utara Irianto Lambrie mengatakan baju atau Suku Tidung di uang pecahan Rp 75 ribu edisi khusus peringatan 75 tahun Kemerdekaan RI.",0
12,"Sejak Diluncurkan, Minat Masyarakat Miliki Uang Pecahan Rp. 75 Ribu Sangat Tinggiâ£  https://aboutcirebon.id/sejak-diluncurkan-minat-masyarakat-miliki-uang-pecahan-rp-75-ribu-sangat-tinggi%e2%81%a3/Â â¦ via @AboutCirebon.ID",0
13,"Uang Rp 75 Ribu Diburu, Antrean di BI Malang Full Sampai Bulan Depan  https://radarmalang.jawapos.com/ekonomi-bisnis/20/08/2020/uang-rp-75-ribu-diburu-antrean-di-bi-malang-full-sampai-bulan-depan/Â â¦ via @Radar Malang Online",0
14,"Uang Khusus HUT RI ke-75 Kok Cuma Puluhan Ribu, Begini Jawaban BI  http://www.repelita.com/uang-khusus-hut-ri-ke-75-kok-cuma-puluhan-ribu-begini-jawaban-bi/Â â¦ lewat @Repelita",1
15,Baru sadar ada ikon jembatan merah yotefa jayapura dimata uang 75 ribu ð,0
16," http://bit.ly/2EdmjjZÂ  â¢ Bank Indonesia (BI) resmi menerbitkan uang baru pecahan Rp75 ribu. Uang ini diterbitkan secara terbatas yakni hanya 75 juta lembar. Provinsi Riau sendiri hanya mendapatkan jatah 2 juta lembar.

""Riauâ¦  https://www.instagram.com/p/CEHHo5hDhGn/?igshid=tv9rncxs1gujÂ â¦",0
17,Kenapa Uang Rp 75 Ribu Ramai Dicari? Psikolog Jelaskan Daya Tariknya  https://ift.tt/3l0bzpJÂ ,0
18,Seumur umur dr jaman uang 100 perak smpe munculnya uang 100 ribu kayanya ga ada penerbitan terbatas sampe pake KTP buat ngambil uangnya k bank.. atau saya yg lupa? Atau gmn? 75 rb yg baru mncul ini ribet bener..,1
19,"kupon nya memang tidak bisa dibelanjakan, tapi uang yang dikumpulkan dari rakyat yang membeli kupon bisa digunakan untuk mengurangi beban negara, khususnya anggaran sosial. cerdas! 

dari rakjat oentoek rakjat! 

#uangbaru #Uang75Ribu #darirakyat #untukrakyat",1
20,"ada yang masih nyimpen kupon  atau âuang"" sumbangan sosial ini?

salah satu skema cerdas ""fundraising"" pemerintah +62 di era 80/90an

#uangbaru #Uang75Ribu #darirakyat #untukrakyat pic.twitter.com/Lq0qjpfxIj",1
22,"Ada yg nawari saya uang baru Rp 75 ribu dgn harga Rp 1 juta. Langsung saya jawab: ""Kamu gila, uang itu alat tukar sesuai nominalnya. Bukan souvenir atau barang seni yg dipajang. Memangnya pemerintah cetak uang untuk cari dana kayak cetak lukisan?""
**lha kok saya dituduh kuper?",1
23,"Uang kok diperjualbelikan
Uang 75 ribu dibeli dengan uang 100 ribu. 
Heran ð",1
25,klean udh dpt uang 75 ribu itu blom??,0
26,Dijamin bagi siapa saja yang baca tweet ini pasti belum punya uang pecahan seperti pada foto. Saya berani beli Rp 50.000 tiap lembarnya. #Uang75ribu #uangbaru #uang #Viral pic.twitter.com/P84GjV7L4g,0
27,"Adat Tidung di gbr uang 75 ribu, yg di tuduh China, buzer peliharaan kah..?
@RamliRizal @msaid_didu @ustadtengkuzul @hnurwahid @MardaniAliSera @AdhieMassardi @runturambi_w @ChristWamea @Hilmi28 @OrangKoslet @Aline_Yoana_Tan @LisaAmartatara3 @kangsemproel",1
28,"Terus masalah nya apa situ sama saya? Si ayahnya aja gk merasa keberetan atau terlalu di pikirkan dalam pecahan uang kertas 75 ribu, kalo saya bilang gk level sama cina terus kenapa?",1
30,"Uang pecahan Rp 75 ribu diproduksi terbatas untuk memperingati hari kemerdekaan Indonesia. Uang ini langsung ramai dicari. Kenapa ya? Ini penjelasan psikolog: #UangBaru

via @detikHealth  https://health.detik.com/berita-detikhealth/d-5140541/kenapa-uang-rp-75-ribu-ramai-dicari-psikolog-jelaskan-daya-tariknya?utm_content=detikhealth&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=Twitter#Echobox=1597915115Â â¦",1
31,acehkini: Video: Antusiasme Warga Aceh Berburu Uang Khusus Rp 75 Ribu untuk Koleksi. #acehkini https://bit.ly/3aHEGthÂ ,1
32,Uang 75 Ribu yang Diburu Kolektor hingga Hoaks BajuÂ China  https://www.acehportal.com/2020/08/20/uang-75-ribu-yang-diburu-kolektor-hingga-hoaks-baju-china/Â â¦,1
35,Uang 75 Ribu yang Diburu Kolektor hingga Hoaks Baju China  https://cnnindonesia.com/ekonomi/20200820153030-78-537673/uang-75-ribu-yang-diburu-kolektor-hingga-hoaks-baju-china?utm_source=twitter&utm_medium=oa&utm_content=cnnindonesia&utm_campaign=cmssocmedÂ â¦,1
36,"Ternyata anak chinna yang ada digambar uang 75 ribu rupiah
 https://youtu.be/GgQXyKbRLpsÂ ",1
37,Ada Gambar Jembatan Youtefa dan Pakaian Adat Papua di Pecahan Uang Rp. 75 Ribu  https://www.bogopapua.net/ada-gambar-jembatan-youtefa-dan-pakaian-adat-papua-di-pecahan-uang-rp-75-ribu/Â â¦,1
38,"Uang Baru Bank Indonesia Pecahan Rp 75.000 Disebut Bergaya Pendalungan: Jember,  http://MAJALAH-GEMPUR.ComÂ . Bertepatan peringatan Hari Ulang Tahun (HUT) Kemerdekaan Republik Indonesia ke-75, Bank Indonesia meluncurkan uang baru pecahan 75 ribu rupiah.â¦  http://dlvr.it/Rf0JtCÂ ",0
39,Orangtua Bangga Foto Anaknya Ada di Uang Rp 75 Ribu  https://youtu.be/AugXwbpgPU0Â  lewat @YouTube,0
40,"Orang ke-5 yang Memiliki Uang Rp 75 ribu, Antre Sejak Pagi di Kantor BI  https://bogor.tribunnews.com/2020/08/20/orang-ke-5-yang-memiliki-uang-rp-75-ribu-antre-sejak-pagi-di-kantor-biÂ â¦ lewat @tribunnews",0
41,Apa sudah ada yang menjual/menawar uang 75 ribu seharga 75 juta? #HUTRI75,0
42,"Wanita Ini Jadi Orang ke-5 Pemilik Uang Rp 75 Ribu, Antre di Kantor BI Sejak Pagi: Excited Banget  https://jatim.tribunnews.com/2020/08/20/wanita-ini-jadi-orang-ke-5-pemilik-uang-rp-75-ribu-antre-di-kantor-bi-sejak-pagi-excited-bangetÂ â¦ via @tribunjatim",0
43,Tips Simpan Uang Baru Rp 75 Ribu di Rumah Agar Rapi danÂ Awet  https://reportersatu.com/tips-simpan-uang-baru-rp-75-ribu-di-rumah-agar-rapi-dan-awet/Â â¦,0
44,"Sesungguhnya Warga +62 itu KAGETAN
Kaget Corona
Kaget PSBB
Kaget Belajar Daring
Kaget Sepedaan
eh, sekarang Kaget Uang 75rebu

#Uang75ribu",0
45,"Video TikTok Orang ke-5 Pemilik Uang Rp 75 Ribu di Bali Viral, Datangi Bank Indonesia Pagi-pagi  https://newsbuzzbreak.com/p/5f3cce7179dacc34d510f6d3Â â¦",0
46,mootss. ada yg nukar uang 75 ribu baru? wkwkðð,0
47,"Uang 75 ribu pun dibilang bergambar pakaian tradisional cina, padahal aslinya pakaian suku Tidung di Kalimantan Utara. Begitulah org yg kebanyakan makan SARA.. Jadinya bodok, begok, goblok, tolol, ediot...

 https://mantrasukabumi.pikiran-rakyat.com/nasional/amp/pr-20677117/heboh-uang-75-ribu-bergambar-baju-china-ini-fakta-sebenarnyaÂ â¦",1
