,tweet
8,ada yang masih nyimpen kupon atau uang sumbangan sosial ini salah satu skema cerdas fundraising pemerintah di era an pictwittercomlqqjpfxij
13,adat tidung di gbr uang ribu yang di tuduh china buzer peliharaan kah ramlirizal msaiddidu ustadtengkuzul hnurwahid mardanialisera adhiemassardi runturambiw christwamea hilmi orangkoslet alineyoanatan lisaamartatara kangsemproel
18,uang ribu yang diburu kolektor hingga hoaks baju china 
23,ada gambar jembatan youtefa dan pakaian adat papua di pecahan uang rupiah ribu 
25,bi jawab tudingan raup untung rupiah triliun dari uang pecahan ribu rupiah pictwittercomeglbqx
29,yang bilang adek ini orang cina di mata uang ribu yang baru berapa orang si hobinya seneng banget gorenggoreng isu beginian 
43,uang pecahan baru lebih bagus pecahan ribu dibanding yang ribu kayaknya pictwittercomxxrypmqqt
44,jerinx dan borgol penjara melebihi koruptor mengapa penjual uang ribu lolos uu ite 
48,kan lu kann sumpah ih aing baru tau bangetttt fix sih aing yakin banget sieta nyolong duluuu ah omaygat jangan jangan uang kas kelas o
49,terkuak inilah makna tersembunyi dari uang pecahan baru rp 
51,anda bukan orang ekonomi lihat proses coba bagaimana bi mendistribusikan uang cetakan baru apa langsung dikasih kan ke orang lain apa dipakai untuk membelikan sesuatu yang berharga tentu saja hutang tidak harus bentuk sun ada juga hutang di warung yang cukup tulis di kertas
56,pacar dan mantan sushant diperiksa oleh pihak ed terkait hilangnya uang rp m milik sushant singh rajput setelah kematiannya muncul kecurigaan baru 
65,padahal secara biaya jauh lebih mahal kalo saya lewat mandiri uang pangkal bisa kali lipat ukt bisa kali lipat dari gundar alhamdulillah ibu sangat support dan enggak masalah kalo harus kehilangan uang pangkal gundar yang nyap papah paling saya gagal dapet hp baru
67,selanjutnyaurus visa tiket dll berangkat foto upload sosmed diiringi kata mutiara sok bijak maklum udah gagal berkali baru sukses sekali seneng banget kwkwkw saya dapatnya fully funded dapat living cost spp asuransi uang buku uang penelitian transport dll
69,baru aja tadi ngobrol sama emak mah gapengen ngoleksi uang k bagus ya mba desainnya warna juga tapi sayang ada gambar orang cinanya lah kan indo turunannya banyk mata sipit belum tentu cina padahal lalu diam 
70,baru sadar dulu pas bacanya masih kecil pikirannya enak tinggi uang saku banyakbebas pulang malam pas dibacanya sekarang malah pikirannya nih jargon nyindir banget sama kehidupan sekarang 
73,lagi ada uang ingat ma kawan lupa sama diri sendiri uda enggak ada uang kawan mala lupa baru ingat diri sendiri
76,indonesia bikin dan cetak uang baru bukan baliho kalo semia pakaian adat dimuat di lembar uang ya enggak cukup kalo pun cukup ya enggak keliatan karena kecil sekali apa bapak pernah belajar desain grafis walau secara otodidak pernah kalo enggak pernah jangan asal bunyi malu sama bio 
84,di seantero negeri bertahuntahun sampai kelak ia dewasa di sisi lainada yang dengan picik memfitnah uang edisi baru rupiah yang dilaunching tepat pada hari kemerdekaan ri ke dengan tanpa spengetahuannya dan tanpa tabayyun pemfitnah langsung njeplak bikin status ngatain
87,dalam postingan akun pesbuk ukhty syarifah indah larasatidia menyebut uang baru rupiah edisi kemerdekaan republik indonesia ke tahun telah di sisipi anak mata sipit cina ini jelas fitnah dan tak bisa dibiarkan diketahui anak yang difitnah dalam mata uang baru itu
93,capek sometime n kdg saya mikir capek juga transfer sana sini dgn nominal uang segitu knp tabunganku baru segini hamsyongggggg
96,sedih uang nya hanya untuk istri dan anak yang baru bukan saya pictwittercomoxkdumeqck
99,wah uang sekarang udah ada yang baru tapi kok saya belum ada yang baru juga ya gini aja ngejomblo 
100,mohon maaf pak saya enggak ngerti sama katanya bapak tapi semisal bahas baju adat itu adat kutai saja punya beragam baju adat kaya takwo miskat antakesuma baju cina jangan ketrigged ya pak emang gitu namanya jadi kalau di uang itu cukup mewakili pakaian yang baru dikenal saja
105,itu biasanya udh hapal huruf tulisanbeberapa kosakata baru bisa belajar topikini saya pengen banget tapi uang belum ada
