,tweet,label
8,ada yang masih nyimpen kupon atau uang sumbang sosial ini salah satu skema cerdas fundraising perintah 62 di era 80 90an uangbaru uang75ribu darirakyat untukrakyat pic twitter com lq0qjpfxij,1
13,adat tidung di gbr uang 75 ribu yg di tuduh china buzer pelihara kah ramlirizal msaid didu ustadtengkuzul hnurwahid mardanialisera adhiemassardi runturambi w christwamea hilmi28 orangkoslet aline yoana tan lisaamartatara3 kangsemproel,1
18,uang 75 ribu yang buru kolektor hingga hoaks baju china https www acehportal com 2020 08 20 uang-75-ribu-yang-diburu-kolektor-hingga-hoaks-baju-china ,1
23,ada gambar jembatan youtefa dan pakai adat papua di pecah uang rp 75 ribu https www bogopapua net ada-gambar-jembatan-youtefa-dan-pakaian-adat-papua-di-pecahan-uang-rp-75-ribu ,1
25,bi jawab tuding raup untung rp 5 6 triliun dari uang pecah 75 ribu rupiah https www wowkeren com berita tampil 00325913 html  pic twitter com 33e7glbqx4,1
29,yang bilang adek ini orang cina di mata uang 75 ribu yang baru berapa orang si hobi neng banget goreng isu begini https twitter com gurauanid status 1295342057217654786 ,1
43,uang pecah baru lebih bagus pecah 75 ribu banding yang 100 ribu kayak  pic twitter com xxry8pmqqt,1
44,jerinx dan borgol penjara lebih koruptor mengapa jual uang 75 ribu lolos uu ite https www kompasiana com komitel 5f3cb4e2d541df12e34b03d2 bayang-bayang-hukum-manusia-pendosa ,1
48,kan lu kann sumpah ih aing baru tau bangetttt fix sih aing yakin banget sieta nyolong duluuu ah omaygat jangan jangan uang kas kelas o,1
49,kuak ini makna sembunyi dari uang pecah baru rp75 000 https goo gl fb j8wpz3,1
51,anda bukan orang ekonomi lihat proses coba bagaimana bi distribusi uang cetak baru apa langsung kasih kan ke orang lain apa pakai untuk beli sesuatu yg harga tentu saja hutang tidak harus bentuk sun ada juga hutang di warung yg cukup tulis di kertas,1
56,pacar dan mantan sushant periksa oleh pihak ed kait hilang uang rp29 m milik sushant singh rajput telah mati muncul curiga baru https www haibunda com trending 20200817195839-93-157378 uang-rp29-m-milik-sushant-singh-rajput-hilang-pacar-mantan-diselidiki utm term autofeed utm medium social utm content haibunda com utm source twitter echobox 1597848233 ,1
65,padahal cara biaya jauh lebih mahal kalo gw lewat mandiri uang pangkal bisa 4 kali lipat ukt bisa 2 kali lipat dari gundar alhamdulillah ibu sangat support dan ga masalah kalo harus hilang uang pangkal gundar yg nyap2 papah paling gw gagal dapet hp baru,1
67,lanjut urus visa tiket dll berangkat foto2 upload sosmed iring kata2 mutiara sok bijak maklum udah gagal berkali2 baru sukses sekali neng banget kwkwkw aku dapat fully funded dapat living cost spp asuransi uang buku uang teliti transport dll,1
69,baru aja tadi ngobrol sama emak  mah gapengen ngoleksi uang 75k  bagus ya mba desain warna juga tapi sayang ada gambar orang cina  lah kan indo turun banyk mata sipit belum tentu cina padahal lalu diam https twitter com gurauanid status 1295342057217654786 ,1
70,baru sadar dulu pas baca masih kecil pikir enak tinggi uang saku banyak bebas pulang malam pas baca sekarang malah pikir nih jargon nyindir banget sama hidup sekarang https twitter com sangga status 1295672474491912192 ,1
73,lagi ada uang ingat ma kawan lupa sama diri sendiri uda gak ada uang kawan mala lupa baru ingat diri sendiri,1
76,indonesia bikin dan cetak uang baru bukan baliho kalo semia pakai adat muat di lembar uang ya ga cukup kalo pun cukup ya ga liat karena kecil sekali apa bapak pernah ajar desain grafis walau cara otodidak pernah kalo ga pernah jangan asal bunyi malu sama bio https twitter com marzukialie ma status 1295875546262335488 ,1
84,di antero negeri tahun sampai kelak ia dewasa di sisi lain ada yg dengan picik fitnah uang edisi baru rp 75 000 yang dilaunching tepat pada hari merdeka ri ke 75 dengan tanpa spengetahuannya dan tanpa tabayyun fitnah langsung njeplak bikin status ngatain,1
87,dalam postingan akun pesbuk ukhty syarifah indah larasati dia sebut uang baru rp 75 000 edisi merdeka republik indonesia ke 75 tahun telah di sisip anak mata sipit cina ini jelas fitnah dan tak bisa biar tahu anak yang fitnah dalam mata uang baru 75 000 itu,1
93,capek sometime n kdg aku mikir capek jg transfer sana sini dgn nominal uang segitu knp tabung baru gin hamsyongggggg,1
96,sedih uang nya hanya untuk istri dan anak2 yg baru bukan aku  pic twitter com oxkdumeqck,1
99,wah uang sekarang udah ada yang baru tapi kok aku belum ada yang baru juga ya gini2 aja ngejomblo ,1
100,mohon maaf pak saya ga ngerti sama kata2nya bapak tapi misal bahas baju adat itu adat kuta saja punya agam baju adat kaya takwo miskat antakesuma baju cina jangan ke-trigged ya pak emang gitu nama jadi kalau di uang itu cukup wakil pakai yg baru kenal saja,1
105,itu biasa udh hapal huruf tulis beberapa kosakata baru bisa ajar topik ini gw ken bgt tapi uang blm ada,1
109,liat logo bilang salib liat gambar di uang baru bilang cina kalau memang hati busuk ya selalu temu apa untuk benci opo ndadak tak nganggo mode bu tejo dinggo ngrasani ati sik rusak kui,1
111,baru gaji uang dah abis lagi apakah di rumah saya banyak tuyul,1
115,amin jgn lgsung mati ke enak stroke dlu beberapa tahun hbisin dulu uang haram yg mereka trima dri bohir baru koit,1
118,bro ini semua salah siapa ngeluarin nominal uang baru tapi utang negara makin nambah merasabingung,1
120,soal kalo ke jolie milihnya jam habis itu nemu yang cocok terus mikir kek di sakola lebih murah deh telah ke sakola thowaf tujuh kali baru ketemu barang yang cari dan mikir lagi kek bagus yang di jolie deh gitu terus sampe uang habis buat parkir,1
121,yoona bagi uang yang dia dapat dari tahun baru dengan anggota lain yoona,0
124,berita uang pecah 75 ribu itu udh lama baru tau euy,0
128,terima uang baru pecah 75 ribu gambar baju adat cina kafir bagai ganti saya sedia tukar dengan 4 lembar uang gambar juang islam ini gimana 1 banding 4 lebih banyak kan  minat dm  pic twitter com yicklieh8a,1
134,hadiah uang juta dri pak lurah en kawan2nya,0
135,kenapa u udah tau sekarang baju apa itu di uang 75 000 yang baru masih blom jelas rianaa na09 nih ya gw kasih link u liat https twitter com nama mei status 1295362872403324930 s 21  pic twitter com 2dutz6hloa,1
