,tweet,label
0,portal berita viral uang ribu  buru kolektor hingga hoaks baj,1
1,sekarang mata uang ribu baru  kritik good night,1
2,uang pecah rupiah ribu produksi batas  ingat hari merdeka indonesia uang  langsung ramai cari    jelas psikolog,0
3,kalian dah punya uang ribu,1
4,  bukan uang pecah tujuh pulh lima ribu   dipersoalkantapi harus  bi cetak uang baru ,1
5,uang khusus hut ri  kok cuma puluh ribu begini jawab bi lewat repelita,1
6,umur umur dr jaman uang perak  muncul uang ribu kaya enggak  terbit batas sampe pake ktp buat ngambil uang k bank    lupa  gmn rb  baru mncul  ribet bener,1
7,kupon nya memang   belanja  uang  kumpul  rakyat  beli kupon  guna  kurang beban negara khusus anggar sosial cerdas  rakjat oentoek rakjat,1
9,tuding miring  uang rupiah ribu gubernur kaltara sedih,1
10,  nawari  uang baru rupiah ribu dgn harga rupiah juta langsung  jawab kamu gila uang  alat tukar sesuai nominal bukan souvenir  barang seni  pajang memang perintah cetak uang  cari dana kayak cetak lukis lha kok  tuduh per,1
11,uang kok diperjualbelikan uang ribu beli  uang ribu heran,1
12, uang ribu ituuuyang limited edition dr bi ituuu,1
14,terus masalah nya apa situ sama  si ayah aja enggak rasa beret  terlalu  pikir  pecah uang kertas ribu kalo  bilang enggak level sama cina terus ,1
15,cetak juta lembaruang baru rupiah nyata   koleksi bukan  transaksi modal kertascetak trus  jual  rakyat harga rupiah ribulembarsudah berapa uang rakyat   ambil ma rezim   sama hal,1
16,uang pecah rupiah ribu produksi batas  ingat hari merdeka indonesia uang  langsung ramai cari    jelas psikolog via detikhealth,1
17,acehkini video antusiasme warga aceh buru uang khusus rupiah ribu  koleksi,1
19,adat tidung  uang rupiah ribu gubernur kritik tuduh kotor salah cetak  dukung pak gubernur perkara tuduh tsb biar jera,1
20,video antusiasme warga aceh buru uang khusus rupiah ribu  koleksi,1
21,uang ribu  buru kolektor hingga hoaks baju china,1
22,nyata anak chinna   gambar uang ribu rupiah,1
24,uang ribu  bilang gambar pakai tradisional cina padahal asli pakai suku tidung  kalimantan utara begitu orang  banyak makan sara jadi bodok begok goblok tolol ediot,1
26,rentet kasus  mirip  buzzer saling serang tuduh anak kecil  baju adat kalimantan  uang ribu  baru   isu  china  berani asumsi  lah wong  ngangkat isu aja pake akun cloninganfake masak kamu lgsung percya gitu aja,1
27,sekali  tukar  sulawesi barat indonesia luas sekali    banten   sedia  sulawesi barat btw kalo dibelanjain  warung ribet nih haha pictwittercomfeuzvk,1
28,temen  dapat  uang ribu    buat langka  cara musnah uang ribu lain  kartu blue eyes  yugioh  lupa kalau  undang  mata uang simbol negara  ah,1
30,ha ha ha sayang  enggak pingin beli uang ribu    ribu  lebih banyak manfaat rebu  rebu cuma sing doang enggak    bangga tahun merdeka rezim sekarang bisa cuma segitu,1
31,heboh shopee depak dagang uang kertas rupiah ribu  lapak  bank indonesia,1
32,baju adat china  gambar mata uang pecah rupiah misleading content dasar pantau jsh akun facebook nama ajun azzo junaedi  merepost akun novi agustina unggah foto uang baru pecah ribu rupiah edisi spesial merdeka hut ri   pictwittercomtzosomown,1
33,jayalahtanahairku downloadins wawancara izzam  kira china  uang ribu uang pecah rp  resmi luncur   ingat hut ri  tuai polemik  kalang netizen,1
34,bi  bi   cetak uang jumlah hutang indonesia  negara  kan habis  hutang lunas receh banget tahu  ekonomi negara wkwkwkwk,1
35,maaf  enggak tarik lembar uang harga ribu kalo bi bikin cuma lembar mungkin   tarik karna pasti punya nilai  tinggi  kalo bikin juta lembar nilai makin rendah biasa  barang  buat sedikitmaka mahal  nila,1
36,lama indonesia jadi amerika bulying   bawa agama etnis budaya suku ras warna kulit  masa liat mata sipit trus liat baju motif china bilang china enggak lulus sd kali budaya kurg tau bisa kompor doang,1
37,eh emang  bener uang pecah ribu rupiah nggk  buat transaksi,1
38,segitu ras sampe anak kecil  dikatain,1
39,astagah,1
40,kasi banget udah bangga jadi wakil budaya indonesia muka   uang spesial ribu malah dikatain asing fuck u all,1
41,mau ngumpulin orangorang  enggak  tarik nukar uang edisi khusus pecah ribu  bi,1
42,nyuruh nukerin uang ribu pictwittercomeavlfgdp,1
45,lucu serba salah jadi janganjangan krn ngga bagi lagi kan bankindonesia cetak uang kertas baru ribu  batas,1
46,uang ribu rasa coklat willi wongka,1
47,hoax  budaya syahri  mata uang pecah ribu rupiah via detaxid,1
50, anak mandiri tp gada kek gituan pas daftar aja  terang uang pangkal per prodi   beda beda  prodi bayar  kalo udah fix ketrima baru bayar uang pangkal  ukt  udah ditentuin,1
52,wealah ahok bini petama ja  entotin orang tahun  biar dpt komut pertamina eh bini dua bunting dl baru pesta  uang sumberwaras   perlu cagar kek,1
53,boro boro mikirin uang ribu yang guna cuman buat kooleksi halah ga guna,1
54,gara posting uang baru  simbol salip nya kena maki pictwittercomphpywjuz,1
55, pas baru lulus sma kaka bilang de kamu kuliah taun depan aja  kasi mama gaada uang yaudah aing nyantai enggak ngikut uji apa apa trus mama ayah bingung kok gaikut lgsg kena marah suruh daftar h closereg sbm  cuma velajar minggu gimana mo lulus gan,1
57,siapppp sayyy iki goro posting uang baru  simbol salip nya mei sengaja pakai satire  ratus  komen like rt  paham  satire  beberapa  mlengseh pictwittercomcienwmfmns,1
58,gara posting uang baru  simbol salip mei sengaja pakai satire pictwittercomakunv,1
59, saat siap  liat status orang  pamer uang rb baru  rencana libur buat besok pictwittercomobwrjvuqus,1
60, apa dah indonesia coba bikin  misal sesimple keluarin uang nominal rupiah baru tp emang yah biasa hobby cina cinain muluuuu kebiasaaannn,1
61,iya  ngomongin mandiri  general  pake uang pangkal cuman  ub udah enggak gitu  d sekarang  ub kan terima dulu baru muncul uang pangkal hehe,1
62,tau pizza gate tau uang baru ri belakang gambar anak semua duh rem ,1
63,ishh kalo liat uang baru enggak sipit dasar ah,1
64,  bawa dekan fk ub gimana  orang luar jadi ngiranya masuk ub  pake jalur gede uang pangkal padahal mah  ub udah fix biaya berapa  terima dulu baru  tentuin uang pangkal enggak tau  kalo pake jalur belakang  kalo jalur legal  enggak gitu,1
66,maaf  sedang  punya uang kasi  uang dulu baru  dibeliin,1
68,kadang suka iri sm orang     minta eh lgsg kasih ortunya guebaru mau ngebahas brgnya dikit  jwb ngapain beli  beli aha pake uang aa pdhl gue  butuh banget dn mepet,1
71,o  selesai  supermarket  baru sadar uang  tip akhir  rencana  ngepet yeah east dorm ngepet berapa harga lilin  guna pictwittercomcntnubapof,1
72,apa komentar sahabat pilar  uang baru upk tahun ri pecah rupiah mau punya enggak kalo punya buat apa ngobrol   talk  selow bareng paman dika,1
74,pas uang baru rb keluar cakap sama suami   apa   bakal  temu  uang   cuma liat sempurna gambar  karya  uangnha terbit  duga budaya cina kaaann  aja  salah padahal ngga salah senyum sedikit,1
75,temen      duh  mah payah banget kalo nabung dulu aja mau beli kendara sampe  buka tabung baru buat beneran nyimpen uang terus kartu umpetin kamu  nabung gitu  soal sen kurang banyak  waiting list  banyak,1
77,baru aja bangett  indomart pas dateng enggak  kang parkir tiba tiba pas mau pulang udah  nongol minta uang parkir,1
78,gue baru punya temen  ngemasalahin soal skincare mulu orang mau skincarean  beli pake uang sendiri anjir lu gamake  gosah bahas mulu make tinggal make engga gosah bcd,1
79,tol nya  tutup baru abis uang cendana,1
80,tu liat lgi transaksi sayaya  blg   sempat transaksiambil uang tgl tu tapi situ  transaksi  tgl siang tu  tempat  atm   rsud   ambil uang  banyak rb utg aja  udh  makek utg gabanyak sih tp tetap aja modus baru,1
81,baru ngasih tau kabar lulus  ortu langsung diceramahin cari uang dulu baru nikah iye taauuu,1
82,golong orang muna  sperti   cari salah  uang baru  pas nerima uang langsung  masukin kantong kan muna,1
83, anak mata sipit  uang edisi baru sebut  harap orangorang   segera tangkap   fitnah  sebar   dunia nyata   adik izzam selamat  jujur   sangat iri  sekaligus bangga kepada,1
85, dulu mil kalo uang  udah abis baru kamu en,1
86,mahalmahal  fk uin malang   bahkan     uang pangkalgedung ada uang mahadasrama kamar orang kata sih  ac  kamar   fakultas  baru beberapa tahun buka kalau  salah ,1
88,airasiaindo dear air asia uang   kembali  akun kredit kemudian  beli tiket baru    bayar  salah klik metode bar  bayar lebih dana nya  akun kredit   hilang  s,1
89,what uang baru semua nyata hahaha apa bilang   kerja  belakang layar,1
90,bener kamu dapet kerja dapet uang dapet temen baru masio temene isok bangsat seh terus   banyak pokok e,1
91,maksud  enggak ngerti kalau  uang negara  cantum semua unsur indonesia kok baru protes sekarang enggak sekali protes pahlawan    uang negara cuma satu enggak gerombol gitu,1
92,anjing baru gantu lcd udah pecah lagiemang uang haram,1
94,masa baru ultah gaada uang,1
95,anak kecil muncul  lembar mata uang baru malah ekspos identitas  kiri sama kanan sama errornya paling bener memang jadi oportunis  energi  chaotic evil,1
97, senang uda kerja dpt uang  bantu mama at least rutin ngirim mama  subsidi subsidi lain utk rumah u know  dunia baru buat  tp kalo  enggak nyemplung  dunia   bener bener bs jamin kalo mungkin mama gabisa beli token listrik tiap bulan dgn damai,1
98,rupa cuma uang lucu lucu kayak duit maen monopoli kituh soal uang edisi hut sri mulyani  bukan cetak uang baru pictwittercomfuxuht,1
101,mobil uang atm sampe hutang banyak banget  mana gara gara pelakor    baru masuk smp gapernah sadar kalo bapak beda   dulu dulu  dapet    pelakor   tau kalo bapak ibu fokus kerja  buat hidup ,1
102, tetangga   enggak suka sama perintah trs bilang uang rb  baru  baju adat cina lah   kalimantan wawas rendah  udh men judge,1
103,biasa kasih uang pernah mau kasih mobil  rebut sama kakak baru tau pas udah  milik nyogok mana hih,1
104,edar narasi  sebut salah orang  uang baru pecah rupiah pakai baju adat china begini fakta,1
106,mah ade mau ganti kacamata baru ganti udah minta  ade uda nambah minus deh kaya makanya main hp trs aja nonton oppaoppa klo ade punya uang sakuade  beli sndrinah kan ade enggak dapet uang saku situ  langsung lari  kamar tutup pintu,1
107,dian  lulus sma enggak kuliah baru kerja hpnya baru motor baru belanja online terus hedon uang dr mana coba  jadi sugarbaby lah mbuk pikir jogo lilin,1
108,cek fakta  benar uang baru pecah rupiah tak  pakai  belanja,1
110,maaf  mas  sw  tadi siang pertama  salut sama adeknya  kecil foto dah masuk uang barusan lihat twett mas baru sdar trnyata    kira jga pakai cina  cari  pakai mirip cina mana enggak   memang asli enggak   pakai asli kaltra pictwittercomhmkuogmjj,1
112, rumah temen pulang sekolah jam puluh hp mati uang habis   problem terus rimah  tuh lewatin pohon gede sama bambu lewatin kubur cm  toko depan gang lalu panjang jalan enggak  rumah  masuk  menit baru ,1
113,pas  tagih selalu bilang enggak  uang trs kemarin baru belanja  mall apa anjir,1
114,akhir temen gua marahmarah terus bawabawa nama gua orang sumatera  uang  dibalikin   pindah bis gua  lupa knpa uang udh kasih wktu  habis  cus go  otw purwokerto daaaann   suasana mudik tahun baru jad,1
116,mau ngetawain tmen  baru masuk mlm jual melia propolis wkwk pamer lembar uang trosss,1
117,dah kaya uang baru aja wkwk,1
119,bank indonesia bi baru  terbit uang ingat merdeka tahun  nominal rupiah ribu bagaimana cara dapat via detikfinance,0
122,hak   dapat beasiswa banyak tak penuh salah satu uang saku    tuntut  abdi  kampus sebut lama tahun lol lama bulan baru kali cair entah  spekulasi uang saku pangkas  jalan v,1
123,rangkum bacot netijen  seliwer  tl  uang baru rprb baju adat cina  didebunk klo  baju dayak ttp masalahin knp  make mata sipit rezim  ambang bangkrut jadi nyari dana  masyarakat indonesia maju,1
125, kamu baru punya teman   uang apa kamu salah pilih temen  justru kamu  jauh  lanjut mang dadang    gamau jadi beban  mang mas minta rokok  mang dadang,1
126,bismillah mau banget dpt  no zenius premium soal zenius  baru abis bln juli kmrn dada banget bom siapin uang  enggak bimbel offline cuma ngandelin zenius free sm mipi doang buku  bom beli aaaaa banyak wishlist  tabungam tiris huhu c,0
127,suka bau uang baru,0
129,dim mang dadang buang puntung rokok mas orang baik  ngerti asa kamu lanjut mang dadang  inget dim jangan malu kalo enggak punya uang malu  kamu punya uang kamu baru punya teman mang dadang seruput kopi,1
