,tweet,label
0,portal berita viral uang ribu  diburu kolektor hingga hoaks baj,1
1,sekarang mata uang ribu baru  dikritik good night,1
2,uang pecahan rupiah ribu diproduksi terbatas  memperingati hari kemerdekaan indonesia uang  langsung ramai dicari    penjelasan psikolog,0
3,kalian dah punya uang ribu,1
4,  bukan uang pecahan tujuh pulh lima ribu   dipersoalkantapi harusnya  bi mencetak uang baru ,1
5,uang khusus hut ri  kok cuma puluhan ribu begini jawaban bi lewat repelita,1
6,seumur umur dr jaman uang perak  munculnya uang ribu kayanya enggak  penerbitan terbatas sampe pake ktp buat ngambil uangnya k bank    lupa  gmn rb  baru mncul  ribet bener,1
7,kupon nya memang   dibelanjakan  uang  dikumpulkan  rakyat  membeli kupon  digunakan  mengurangi beban negara khususnya anggaran sosial cerdas  rakjat oentoek rakjat,1
9,tudingan miring  uang rupiah ribu gubernur kaltara menyedihkan,1
10,  nawari  uang baru rupiah ribu dgn harga rupiah juta langsung  jawab kamu gila uang  alat tukar sesuai nominalnya bukan souvenir  barang seni  dipajang memangnya pemerintah cetak uang  cari dana kayak cetak lukisan lha kok  dituduh kuper,1
11,uang kok diperjualbelikan uang ribu dibeli  uang ribu heran,1
12, uang ribu ituuuyang limited edition dr bi ituuu,1
14,terus masalah nya apa situ sama  si ayahnya aja enggak merasa keberetan  terlalu  pikirkan  pecahan uang kertas ribu kalo  bilang enggak level sama cina terus ,1
15,dicetak juta lembaruang baru rupiah ternyata   koleksi bukan  transaksi modal kertascetak trus  jual  rakyat seharga rupiah ribulembarsudah berapa uang rakyat   ambil ma rezim   sama halnya,1
16,uang pecahan rupiah ribu diproduksi terbatas  memperingati hari kemerdekaan indonesia uang  langsung ramai dicari    penjelasan psikolog via detikhealth,1
17,acehkini video antusiasme warga aceh berburu uang khusus rupiah ribu  koleksi,1
19,adat tidung  uang rupiah ribu gubernur kritik tuduhan kotor salah cetak  dukung pak gubernur perkarakan penuduh tsb biar jera,1
20,video antusiasme warga aceh berburu uang khusus rupiah ribu  koleksi,1
21,uang ribu  diburu kolektor hingga hoaks baju china,1
22,ternyata anak chinna   digambar uang ribu rupiah,1
24,uang ribu  dibilang bergambar pakaian tradisional cina padahal aslinya pakaian suku tidung  kalimantan utara begitulah orang  kebanyakan makan sara jadinya bodok begok goblok tolol ediot,1
26,rentetan kasus  mirip  buzzer saling serang tuduhan anak kecil  baju adat kalimantan  uang ribu  baru   isukan  china  berani berasumsi  lah wong  ngangkat isunya aja pake akun cloninganfake masak kamu lgsung percya gitu aja,1
27,sekalinya  penukaran  sulawesi barat indonesia luas sekali    banten   tersedia  sulawesi barat btw kalo dibelanjain  warung ribet nih haha pictwittercomfeuzvk,1
28,temen  berpendapat  uang ribu    buat langka  cara memusnahkan uang ribu lainnya  kartu blue eyes  yugioh  lupa kalau  undang  mata uang simbol negara  ah,1
30,ha ha ha sayang  enggak pingin beli uang ribu    ribu  lebih banyak manfaat rebu  rebu cuma kesing doang enggak    dibanggakan tahun kemerdekaan rezim sekarang bisanya cuma segitu,1
31,heboh shopee depak pedagang uang kertas rupiah ribu  lapaknya  bank indonesia,1
32,baju adat china  gambar mata uang pecahan rupiah misleading content berdasarkan pantauan jsh akun facebook bernama ajun azzo junaedi  merepost akun novi agustina mengunggah foto uang baru pecahan ribu rupiah edisi spesial kemerdekaan hut ri   pictwittercomtzosomown,1
33,jayalahtanahairku downloadins wawancara izzam  dikira china  uang ribu uang pecahan rp  resmi diluncurkan   peringatan hut ri  menuai polemik  kalangan netizen,1
34,bi  bi   mencetak uang sejumlah hutang indonesia  negara  kan habis  hutangnya lunas receh banget pengetahuanku  perekonomian negara wkwkwkwk,1
35,maaf  enggak tertarik selembar uang dihargai ribu kalo bi bikinnya cuma lembar mungkin   tertarik karna pastinya punya nilai  tinggi  kalo bikinnya juta lembar nilainya makin rendah biasanya  barang  dibuat sedikitmaka mahal  bernilai,1
