,tweet
0,Portal Berita Viral: Uang 75 Ribu yang Diburu Kolektor hingga Hoaks Baj...  https://portalberitav.blogspot.com/2020/08/uang-75-ribu-yang-diburu-kolektor.html?spref=twÃÂ Ã¢ÂÂ¦
1,"Sekarang Mata Uang 75 Ribu (baru) yang dikritik, good night!"
2,Uang pecahan Rp 75 ribu diproduksi terbatas untuk memperingati hari kemerdekaan Indonesia. Uang ini langsung ramai dicari. Kenapa ya? Ini penjelasan psikolog.  https://health.detik.com/berita-detikhealth/d-5140541/kenapa-uang-rp-75-ribu-ramai-dicari-psikolog-jelaskan-daya-tariknya?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikhealth&utm_source=Twitter#Echobox=1597914107ÃÂ Ã¢ÂÂ¦
3,kalian dah punya uang 75 ribu?
4,"Menurut saya bukan uang pecahan 75.000( tujuh pulh lima ribu) yg harus dipersoalkan,tapi harusnya kenapa BI mencetak uang baru lagi."
5,"Uang Khusus HUT RI ke-75 Kok Cuma Puluhan Ribu, Begini Jawaban BI  http://www.repelita.com/uang-khusus-hut-ri-ke-75-kok-cuma-puluhan-ribu-begini-jawaban-bi/ÃÂ Ã¢ÂÂ¦ lewat @Repelita"
6,Seumur umur dr jaman uang 100 perak smpe munculnya uang 100 ribu kayanya ga ada penerbitan terbatas sampe pake KTP buat ngambil uangnya k bank.. atau saya yg lupa? Atau gmn? 75 rb yg baru mncul ini ribet bener..
7,"kupon nya memang tidak bisa dibelanjakan, tapi uang yang dikumpulkan dari rakyat yang membeli kupon bisa digunakan untuk mengurangi beban negara, khususnya anggaran sosial. cerdas! 

dari rakjat oentoek rakjat! 

#uangbaru #Uang75Ribu #darirakyat #untukrakyat"
9,"Tudingan Miring di Uang Rp 75 Ribu, Gubernur Kaltara: Menyedihkan!  https://20.detik.com/detikflash/20200820-200820086/tudingan-miring-di-uang-rp-75-ribu-gubernur-kaltara-menyedihkan?utm_source=twitter&utm_medium=oa&utm_content=20detik&utm_campaign=cmssocmedÃÂ Ã¢ÂÂ¦"
10,"Ada yg nawari saya uang baru Rp 75 ribu dgn harga Rp 1 juta. Langsung saya jawab: ""Kamu gila, uang itu alat tukar sesuai nominalnya. Bukan souvenir atau barang seni yg dipajang. Memangnya pemerintah cetak uang untuk cari dana kayak cetak lukisan?""
**lha kok saya dituduh kuper?"
